CTUID,CTUIDText,CSDSimple,CSDNAME,CSDTYPE
9330184.08,9330184.08,Surrey,Surrey,CY
9330162.01,9330162.01,Delta,Delta,DM
9330131,9330131.00,West Vancouver,West Vancouver,DM
9330186.07,9330186.07,Surrey,Surrey,CY
9330189.06,9330189.06,Surrey,Surrey,CY
9330187.05,9330187.05,Surrey,Surrey,CY
9330235.02,9330235.02,Burnaby,Burnaby,CY
9330030,9330030.00,Vancouver,Vancouver,CY
9330151.03,9330151.03,Richmond,Richmond,CY
9330110.04,9330110.04,North Vancovuer District,North Vancouver,DM
9330140.02,9330140.02,Richmond,Richmond,CY
9330010.02,9330010.02,Vancouver,Vancouver,CY
9330161.06,9330161.06,Delta,Delta,DM
9330184.09,9330184.09,Surrey,Surrey,CY
9330270,9330270.00,Coquitlam,Coquitlam,CY
9330281.02,9330281.02,Coquitlam,Coquitlam,CY
9330163.01,9330163.01,Delta,Delta,DM
9330238.01,9330238.01,Burnaby,Burnaby,CY
9330185.09,9330185.09,Surrey,Surrey,CY
9330190.01,9330190.01,Surrey,Surrey,CY
9330021,9330021.00,Vancouver,Vancouver,CY
9330401.01,9330401.01,Maple Ridge,Maple Ridge,DM
9330284.01,9330284.01,Coquitlam,Coquitlam,CY
9330062,9330062.00,Vancouver,Vancouver,CY
9330410.02,9330410.02,Pitt Meadows,Pitt Meadows,CY
9330410.05,9330410.05,Pitt Meadows,Pitt Meadows,CY
9330238.02,9330238.02,Burnaby,Burnaby,CY
9330050.03,9330050.03,Vancouver,Vancouver,CY
9330145.01,9330145.01,Richmond,Richmond,CY
9330147.05,9330147.05,Richmond,Richmond,CY
9330044,9330044.00,Vancouver,Vancouver,CY
9330202,9330202.00,New Westminster,New Westminster,CY
9330036.01,9330036.01,Vancouver,Vancouver,CY
9330135,9330135.00,West Vancouver,West Vancouver,DM
9330132,9330132.00,West Vancouver,West Vancouver,DM
9330403.04,9330403.04,Maple Ridge,Maple Ridge,DM
9330185.15,9330185.15,Surrey,Surrey,CY
9330147.04,9330147.04,Richmond,Richmond,CY
9330400.06,9330400.06,Maple Ridge,Maple Ridge,DM
9330182.03,9330182.03,Surrey,Surrey,CY
9330110.03,9330110.03,North Vancovuer District,North Vancouver,DM
9330281.01,9330281.01,Coquitlam,Coquitlam,CY
9330504.08,9330504.08,Langley District,Langley,DM
9330286.02,9330286.02,Coquitlam,Coquitlam,CY
9330009,9330009.00,Vancouver,Vancouver,CY
9330210,9330210.00,New Westminster,New Westminster,CY
9330046,9330046.00,Vancouver,Vancouver,CY
9330182.05,9330182.05,Surrey,Surrey,CY
9330059.06,9330059.06,Vancouver,Vancouver,CY
9330221.04,9330221.04,Burnaby,Burnaby,CY
9330069,9330069.00,Greater Vancouver A,Greater Vancouver A,RDA
9330056.01,9330056.01,Vancouver,Vancouver,CY
9330229,9330229.00,Burnaby,Burnaby,CY
9330035.02,9330035.02,Vancouver,Vancouver,CY
9330190.05,9330190.05,Surrey,Surrey,CY
9330185.17,9330185.17,Surrey,Surrey,CY
9330187.15,9330187.15,Surrey,Surrey,CY
9330501.02,9330501.02,Langley District,Langley,DM
9330287.14,9330287.14,Coquitlam,Coquitlam,CY
9330251,9330251.00,Greater Vancouver A,Greater Vancouver A,RDA
9330143.04,9330143.04,Richmond,Richmond,CY
9330403.01,9330403.01,Maple Ridge,Maple Ridge,DM
9330054.02,9330054.02,Vancouver,Vancouver,CY
9330163.07,9330163.07,Delta,Delta,DM
9330187.11,9330187.11,Surrey,Surrey,CY
9330185.21,9330185.21,Surrey,Surrey,CY
9330185.19,9330185.19,Surrey,Surrey,CY
9330187.07,9330187.07,Surrey,Surrey,CY
9330182.04,9330182.04,Surrey,Surrey,CY
9330119,9330119.00,North Vancovuer District,North Vancouver,DM
9330141.02,9330141.02,Richmond,Richmond,CY
9330017.02,9330017.02,Vancouver,Vancouver,CY
9330183.01,9330183.01,Surrey,Surrey,CY
9330040.01,9330040.01,Vancouver,Vancouver,CY
9330151.07,9330151.07,Richmond,Richmond,CY
9330503.06,9330503.06,Langley City,Langley,CY
9330022,9330022.00,Vancouver,Vancouver,CY
9330237,9330237.00,Burnaby,Burnaby,CY
9330002.03,9330002.03,Vancouver,Vancouver,CY
9330285.02,9330285.02,Coquitlam,Coquitlam,CY
9330052.01,9330052.01,Vancouver,Vancouver,CY
9330162.02,9330162.02,Delta,Delta,DM
9330182.02,9330182.02,Surrey,Surrey,CY
9330191.03,9330191.03,Surrey,Surrey,CY
9330185.18,9330185.18,Surrey,Surrey,CY
9330187.03,9330187.03,Surrey,Surrey,CY
9330008.02,9330008.02,Vancouver,Vancouver,CY
9330410.04,9330410.04,Pitt Meadows,Pitt Meadows,CY
9330242,9330242.00,Burnaby,Burnaby,CY
9330230.02,9330230.02,Burnaby,Burnaby,CY
9330161.01,9330161.01,Delta,Delta,DM
9330236,9330236.00,Burnaby,Burnaby,CY
9330187.16,9330187.16,Surrey,Surrey,CY
9330055.01,9330055.01,Vancouver,Vancouver,CY
9330205.01,9330205.01,New Westminster,New Westminster,CY
9330149.06,9330149.06,Richmond,Richmond,CY
9330007.01,9330007.01,Vancouver,Vancouver,CY
9330050.04,9330050.04,Vancouver,Vancouver,CY
9330133.01,9330133.01,West Vancouver,West Vancouver,DM
9330234,9330234.00,Burnaby,Burnaby,CY
9330102,9330102.00,North Vancouver City,North Vancouver,CY
9330504.09,9330504.09,Langley District,Langley,DM
9330287.13,9330287.13,Coquitlam,Coquitlam,CY
9330189.07,9330189.07,Surrey,Surrey,CY
9330160.02,9330160.02,Delta,Delta,DM
9330032,9330032.00,Vancouver,Vancouver,CY
9330505.01,9330505.01,Langley District,Langley,DM
9330050.02,9330050.02,Vancouver,Vancouver,CY
9330287.15,9330287.15,Coquitlam,Coquitlam,CY
9330506.01,9330506.01,Langley District,Langley,DM
9330185.11,9330185.11,Surrey,Surrey,CY
9330182.06,9330182.06,Surrey,Surrey,CY
9330141.01,9330141.01,Richmond,Richmond,CY
9330151.08,9330151.08,Richmond,Richmond,CY
9330222.02,9330222.02,Burnaby,Burnaby,CY
9330502.06,9330502.06,Langley District,Langley,DM
9330026,9330026.00,Vancouver,Vancouver,CY
9330010.01,9330010.01,Vancouver,Vancouver,CY
9330161.02,9330161.02,Delta,Delta,DM
9330104,9330104.00,North Vancouver City,North Vancouver,CY
9330181.12,9330181.12,Surrey,Surrey,CY
9330230.01,9330230.01,Burnaby,Burnaby,CY
9330161.03,9330161.03,Delta,Delta,DM
9330182.01,9330182.01,Surrey,Surrey,CY
9330501.03,9330501.03,Langley District,Langley,DM
9330287.06,9330287.06,Coquitlam,Coquitlam,CY
9330260.04,9330260.04,Port Moody,Port Moody,CY
9330290.03,9330290.03,Coquitlam,Coquitlam 2,IRI
9330146,9330146.00,Richmond,Richmond,CY
9330188.07,9330188.07,Surrey,Surrey,CY
9330181.05,9330181.05,Surrey,Surrey,CY
9330003.01,9330003.01,Vancouver,Vancouver,CY
9330045.02,9330045.02,Vancouver,Vancouver,CY
9330133.02,9330133.02,West Vancouver,West Vancouver,DM
9330015.01,9330015.01,Vancouver,Vancouver,CY
9330058,9330058.00,Vancouver,Vancouver,CY
9330240.01,9330240.01,Burnaby,Burnaby,CY
9330004.02,9330004.02,Vancouver,Vancouver,CY
9330008.01,9330008.01,Musqueam,Musqueam 2,IRI
9330226.04,9330226.04,Burnaby,Burnaby,CY
9330204.02,9330204.02,New Westminster,New Westminster,CY
9330250.02,9330250.02,Greater Vancouver A,Greater Vancouver A,RDA
9330142.03,9330142.03,Richmond,Richmond,CY
9330280,9330280.00,Coquitlam,Coquitlam,CY
9330241,9330241.00,Burnaby,Burnaby,CY
9330170.04,9330170.04,White Rock,White Rock,CY
9330503.09,9330503.09,Langley City,Langley,CY
9330184.02,9330184.02,Surrey,Surrey,CY
9330185.2,9330185.20,Surrey,Surrey,CY
9330025,9330025.00,Vancouver,Vancouver,CY
9330184.14,9330184.14,Surrey,Surrey,CY
9330240.02,9330240.02,Burnaby,Burnaby,CY
9330185.08,9330185.08,Surrey,Surrey,CY
9330188.08,9330188.08,Surrey,Surrey,CY
9330170.03,9330170.03,White Rock,White Rock,CY
9330226.03,9330226.03,Burnaby,Burnaby,CY
9330147.08,9330147.08,Richmond,Richmond,CY
9330150,9330150.00,Richmond,Richmond,CY
