FSA,Region,City,Neighbourhood-VanOnly
V9C,Not Metro Vancouver,Greater Victoria,
V9E,Not Metro Vancouver,Greater Victoria,
V8L,Not Metro Vancouver,Greater Victoria,
V8M,Not Metro Vancouver,Greater Victoria,
V8N,Not Metro Vancouver,Greater Victoria,
V8P,Not Metro Vancouver,Greater Victoria,
V8R,Not Metro Vancouver,Greater Victoria,
V8S,Not Metro Vancouver,Greater Victoria,
V8T,Not Metro Vancouver,Greater Victoria,
V8V,Not Metro Vancouver,Greater Victoria,
V8W,Not Metro Vancouver,Greater Victoria,
V8X,Not Metro Vancouver,Greater Victoria,
V8Y,Not Metro Vancouver,Greater Victoria,
V8Z,Not Metro Vancouver,Greater Victoria,
V0M,Not Metro Vancouver,Harrison Lake Region,
V0E,Not Metro Vancouver,"High Country, Shuswap and Northeast Okanagan",
V0T,Not Metro Vancouver,Inside Passage and Haida Gwaii,
V0S,Not Metro Vancouver,Juan de Fuca Shore,
V2B,Not Metro Vancouver,Kamloops,
V2C,Not Metro Vancouver,Kamloops,
V2E,Not Metro Vancouver,Kamloops,
V2H,Not Metro Vancouver,Kamloops,
V1S,Not Metro Vancouver,Kamloops,
V1P,Not Metro Vancouver,Kelowna,
V1V,Not Metro Vancouver,Kelowna,
V1W,Not Metro Vancouver,Kelowna,
V1X,Not Metro Vancouver,Kelowna,
V1Y,Not Metro Vancouver,Kelowna,
V1A,Not Metro Vancouver,Kimberley,
V8C,Not Metro Vancouver,Kitimat,
V9G,Not Metro Vancouver,Ladysmith,
V0V,Not Metro Vancouver,Lower Skeena Region,
V1K,Not Metro Vancouver,Merritt,
V9R,Not Metro Vancouver,Nanaimo,
V9S,Not Metro Vancouver,Nanaimo,
V9T,Not Metro Vancouver,Nanaimo,
V9V,Not Metro Vancouver,Nanaimo,
V1L,Not Metro Vancouver,Nelson,
V0P,Not Metro Vancouver,North Central Vancouver Island and Discovery Islands,
V0N,Not Metro Vancouver,"North Vancouver Island, Sunshine Coast, Sea-to-Sky Country and Southern Gulf Islands",
V0C,Not Metro Vancouver,Northern British Columbia,
V0J,Not Metro Vancouver,Omineca and Yellowhead,
V9P,Not Metro Vancouver,Parksville,
V2A,Not Metro Vancouver,Penticton,
V9Y,Not Metro Vancouver,Port Alberni,
V8A,Not Metro Vancouver,Powell River,
V2K,Not Metro Vancouver,Prince George,
V2L,Not Metro Vancouver,Prince George,
V2M,Not Metro Vancouver,Prince George,
V2N,Not Metro Vancouver,Prince George,
V8J,Not Metro Vancouver,Prince Rupert,
V9K,Not Metro Vancouver,Qualicum Beach,
V2J,Not Metro Vancouver,Quesnel,
V1E,Not Metro Vancouver,Salmon Arm,
V8K,Not Metro Vancouver,Saltspring Island,
V0X,Not Metro Vancouver,Similkameen Region,
V9Z,Not Metro Vancouver,Sooke,
V0H,Not Metro Vancouver,Southeast Okanagan and Boundary Country,
V8B,Not Metro Vancouver,Squamish,
V8G,Not Metro Vancouver,Terrace,
V1R,Not Metro Vancouver,Trail,
V0A,Not Metro Vancouver,Upper Columbia Region,
V1B,Not Metro Vancouver,Vernon,
V1H,Not Metro Vancouver,Vernon,
V1T,Not Metro Vancouver,Vernon,
V4T,Not Metro Vancouver,West Kelowna,
V1Z,Not Metro Vancouver,West Kelowna,
V0G,Not Metro Vancouver,West Kootenays,
V2G,Not Metro Vancouver,Williams Lake,
V4V,Not Metro Vancouver,Winfield,
