Occurred_Date_From,ReformattedTime,DateTime,Occurred_Time_From,Description,district,Weekday,Month,Year,100 Block,100 Block CLEANED,AddressConsolidated,Lat,Long,,
1-10-08,5:30 PM,1-10-08 5:30 PM,1730,THEFT BICYCLE UNDER $5000,3,5,January,2008,500 E 15TH AVE   ,500 E 15TH AVE,500 E 15TH AVE,49.2573128,-123.0937463,,
1-10-08,8:30 PM,1-10-08 8:30 PM,2030,THEFT BICYCLE UNDER $5000,1,5,January,2008,1200 HOMER ST    ,1200 HOMER ST,1200 HOMER ST,49.27519,-123.1233344,,
1-11-08,12:00 PM,1-11-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,1,6,January,2008,BURRARD ST / ROBSON ST,BURRARD ST / ROBSON ST,BURRARD ST & ROBSON ST,49.2832949,-123.1228016,,
1-11-08,2:00 PM,1-11-08 2:00 PM,1400,THEFT BICYCLE UNDER $5000,2,6,January,2008,700 TEMPLETON DR    ,700 TEMPLETON DR,700 TEMPLETON DR,49.2782966,-123.0599481,,
1-12-08,1:30 AM,1-12-08 1:30 AM,130,THEFT BICYCLE UNDER $5000,4,7,January,2008,3200 W 6TH AVE   ,3200 W 6TH AVE,3200 W 6TH AVE,49.2667609,-123.1759281,,
1-12-08,3:00 PM,1-12-08 3:00 PM,1500,THEFT BICYCLE UNDER $5000,1,7,January,2008,1000 BURNABY ST    ,1000 BURNABY ST,1000 BURNABY ST,49.27845,-123.130358,,
1-12-08,7:00 PM,1-12-08 7:00 PM,1900,THEFT BICYCLE UNDER $5000,2,7,January,2008,100 REGIMENT SQ    ,100 REGIMENT SQ,100 REGIMENT SQ,49.2785605,-123.1100619,,
1-12-08,9:30 PM,1-12-08 9:30 PM,2130,THEFT BICYCLE UNDER $5000,3,7,January,2008,2700 COOPERATIVE WAY    ,2700 COOPERATIVE WAY,2700 COOPERATIVE WAY,49.2573932,-123.0494222,,
1-14-08,3:48 PM,1-14-08 3:48 PM,1548,THEFT BICYCLE UNDER $5000,4,2,January,2008,1600 W 1ST AVE   ,1600 W 1ST AVE,1600 W 1ST AVE,49.2705834,-123.1413772,,
1-14-08,11:00 PM,1-14-08 11:00 PM,2300,THEFT BICYCLE UNDER $5000,4,2,January,2008,1100 W 6TH AVE   ,1100 W 6TH AVE,1100 W 6TH AVE,49.2660256,-123.1290105,,
1-15-08,12:00 AM,1-15-08 12:00 AM,0,THEFT BICYCLE UNDER $5000,2,3,January,2008,3600 E PENDER ST   ,3600 E PENDER ST,3600 E PENDER ST,49.2802014,-123.0258325,,
1-15-08,9:00 AM,1-15-08 9:00 AM,900,THEFT BICYCLE UNDER $5000,4,3,January,2008,2600 LARCH ST    ,2600 LARCH ST,2600 LARCH ST,49.263027,-123.1624113,,
1-15-08,12:00 PM,1-15-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,4,3,January,2008,400 MOBERLY RD    ,400 MOBERLY RD,400 MOBERLY RD,49.2678017,-123.1175074,,
1-15-08,2:30 PM,1-15-08 2:30 PM,1430,THEFT BICYCLE UNDER $5000,3,3,January,2008,1600 E 12TH AVE   ,1600 E 12TH AVE,1600 E 12TH AVE,49.2595677,-123.0715384,,
1-15-08,3:30 PM,1-15-08 3:30 PM,1530,THEFT BICYCLE UNDER $5000,4,3,January,2008,1400 ANDERSON ST    ,1400 ANDERSON ST,1400 ANDERSON ST,49.2699112,-123.1370577,,
1-17-08,1:00 AM,1-17-08 1:00 AM,100,THEFT BICYCLE UNDER $5000,2,5,January,2008,COMMERCIAL DR / GRANT ST,COMMERCIAL DR / GRANT ST,COMMERCIAL DR & GRANT ST,49.2712863,-123.0695676,,
1-18-08,12:00 AM,1-18-08 12:00 AM,0,THEFT BICYCLE UNDER $5000,1,6,January,2008,1300 HOWE ST    ,1300 HOWE ST,1300 HOWE ST,49.2768075,-123.1287109,,
1-20-08,10:50 AM,1-20-08 10:50 AM,1050,THEFT BICYCLE UNDER $5000,4,1,January,2008,2900 W BROADWAY AVE   ,2900 W BROADWAY AVE,2900 W BROADWAY,49.2641136,-123.1701373,,
1-20-08,11:00 AM,1-20-08 11:00 AM,1100,THEFT BICYCLE UNDER $5000,2,1,January,2008,E CORDOVA ST / GORE AVE,E CORDOVA ST / GORE AVE,E CORDOVA ST & GORE AVE,49.2822469,-123.0976076,,
1-21-08,8:30 AM,1-21-08 8:30 AM,830,THEFT BICYCLE UNDER $5000,4,2,January,2008,1600 W BROADWAY AVE   ,1600 W BROADWAY AVE,1600 W BROADWAY,49.2636326,-123.1411711,,
1-21-08,5:30 PM,1-21-08 5:30 PM,1730,THEFT BICYCLE UNDER $5000,4,2,January,2008,W BROADWAY AVE / TRAFALGAR ST,W BROADWAY AVE / TRAFALGAR ST,W BROADWAY & TRAFALGAR ST,49.2640294,-123.1646488,,
1-22-08,7:30 AM,1-22-08 7:30 AM,730,THEFT BICYCLE UNDER $5000,1,3,January,2008,300 DUNSMUIR ST    ,300 DUNSMUIR ST,300 DUNSMUIR ST,49.281063,-123.1125773,,
1-22-08,10:24 PM,1-22-08 10:24 PM,2224,THEFT BICYCLE UNDER $5000,2,3,January,2008,400 CAMBIE ST    ,400 CAMBIE ST,400 CAMBIE ST,49.282481,-123.1095694,,
1-24-08,7:00 PM,1-24-08 7:00 PM,1900,THEFT BICYCLE UNDER $5000,1,5,January,2008,500 W HASTINGS ST   ,500 W HASTINGS ST,500 W HASTINGS ST,49.2840565,-123.1119757,,
1-28-08,12:00 AM,1-28-08 12:00 AM,0,THEFT BICYCLE UNDER $5000,1,2,January,2008,1100 PACIFIC ST    ,1100 PACIFIC ST,1100 PACIFIC ST,49.2782267,-123.1343411,,
1-28-08,1:30 PM,1-28-08 1:30 PM,1330,THEFT BICYCLE UNDER $5000,2,2,January,2008,CARRALL ST / E PENDER ST,CARRALL ST / E PENDER ST,CARRALL ST & E PENDER ST,49.2805098,-123.1043616,,
1-28-08,2:30 PM,1-28-08 2:30 PM,1430,THEFT BICYCLE UNDER $5000,1,2,January,2008,SEYMOUR ST / W GEORGIA ST,SEYMOUR ST / W GEORGIA ST,SEYMOUR ST & W GEORGIA ST,49.2818558,-123.1171355,,
1-28-08,6:00 PM,1-28-08 6:00 PM,1800,THEFT BICYCLE UNDER $5000,4,2,January,2008,1900 W BROADWAY AVE   ,1900 W BROADWAY AVE,1900 W BROADWAY,49.263605,-123.1483428,,
1-31-08,1:00 AM,1-31-08 1:00 AM,100,THEFT BICYCLE UNDER $5000,1,5,January,2008,1000 GRANVILLE ST    ,1000 GRANVILLE ST,1000 GRANVILLE ST,49.2791968,-123.1230714,,
2-1-08,1:00 AM,2-1-08 1:00 AM,100,THEFT BICYCLE UNDER $5000,1,6,February,2008,900 RICHARDS ST    ,900 RICHARDS ST,900 RICHARDS ST,49.278945,-123.119488,,
2-1-08,1:00 AM,2-1-08 1:00 AM,100,THEFT BICYCLE UNDER $5000,3,6,February,2008,2200 PRINCE EDWARD ST   ,2200 PRINCE EDWARD ST,2200 PRINCE EDWARD ST,49.2654246,-123.0957309,,
2-1-08,6:45 AM,2-1-08 6:45 AM,645,THEFT BICYCLE UNDER $5000,4,6,February,2008,900 W 10TH AVE   ,900 W 10TH AVE,900 W 10TH AVE,49.2624046,-123.1242461,,
2-1-08,1:44 PM,2-1-08 1:44 PM,1344,THEFT BICYCLE UNDER $5000,3,6,February,2008,1300 E 8TH AVE   ,1300 E 8TH AVE,1300 E 8TH AVE,49.2633157,-123.0776868,,
2-1-08,5:00 PM,2-1-08 5:00 PM,1700,THEFT BICYCLE UNDER $5000,2,6,February,2008,GORE AVE / E HASTINGS ST,GORE AVE / E HASTINGS ST,GORE AVE & E HASTINGS ST,49.2812985,-123.0974752,,
2-2-08,3:30 PM,2-2-08 3:30 PM,1530,THEFT BICYCLE UNDER $5000,2,7,February,2008,100 W CORDOVA ST   ,100 W CORDOVA ST,100 W CORDOVA ST,49.2829625,-123.1068814,,
2-4-08,12:00 PM,2-4-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,3,2,February,2008,3100 KNIGHT ST    ,3100 KNIGHT ST,3100 KNIGHT ST,49.2564591,-123.0757919,,
2-5-08,9:00 AM,2-5-08 9:00 AM,900,THEFT BICYCLE UNDER $5000,4,3,February,2008,900 W 7TH AVE   ,900 W 7TH AVE,900 W 7TH AVE,49.2651242,-123.1243445,,
2-6-08,8:00 AM,2-6-08 8:00 AM,800,THEFT BICYCLE UNDER $5000,4,4,February,2008,3000 ARBUTUS ST    ,3000 ARBUTUS ST,3000 ARBUTUS ST,49.2591561,-123.1530923,,
2-6-08,8:08 PM,2-6-08 8:08 PM,2008,THEFT BICYCLE UNDER $5000,3,4,February,2008,3100 MAIN ST    ,3100 MAIN ST,3100 MAIN ST,49.2591834,-123.1011078,,
2-10-08,1:00 PM,2-10-08 1:00 PM,1300,THEFT BICYCLE UNDER $5000,4,1,February,2008,1600 DURANLEAU ST    ,1600 DURANLEAU ST,1600 DURANLEAU ST,49.2717947,-123.1359892,,
2-12-08,12:00 PM,2-12-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,4,3,February,2008,CROWN ST / W 16TH AVE,CROWN ST / W 16TH AVE,CROWN ST & W 16TH AVE,49.2581429,-123.19354,,
2-12-08,6:00 PM,2-12-08 6:00 PM,1800,THEFT BICYCLE UNDER $5000,1,3,February,2008,500 HORNBY ST    ,500 HORNBY ST,500 HORNBY ST,49.2856055,-123.1172741,,
2-13-08,9:00 AM,2-13-08 9:00 AM,900,THEFT BICYCLE UNDER $5000,3,4,February,2008,500 E 7TH AVE   ,500 E 7TH AVE,500 E 7TH AVE,49.2643487,-123.0928633,,
2-13-08,12:00 PM,2-13-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,4,4,February,2008,1300 CARTWRIGHT ST    ,1300 CARTWRIGHT ST,1300 CARTWRIGHT ST,49.2697945,-123.1338688,,
2-14-08,10:00 PM,2-14-08 10:00 PM,2200,THEFT BICYCLE UNDER $5000,2,5,February,2008,100 E HASTINGS ST   ,100 E HASTINGS ST,100 E HASTINGS ST,49.2812374,-123.1020531,,
2-15-08,10:00 AM,2-15-08 10:00 AM,1000,THEFT BICYCLE UNDER $5000,3,6,February,2008,1900 E 22ND AVE   ,1900 E 22ND AVE,1900 E 22ND AVE,49.2502817,-123.0657703,,
2-15-08,12:00 PM,2-15-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,4,6,February,2008,500 MOBERLY RD    ,500 MOBERLY RD,500 MOBERLY RD,49.2678017,-123.1175064,,
2-15-08,12:00 PM,2-15-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,4,6,February,2008,1300 JOHNSTON ST    ,1300 JOHNSTON ST,1300 JOHNSTON ST,49.2702105,-123.132794,,
2-15-08,5:00 PM,2-15-08 5:00 PM,1700,THEFT BICYCLE UNDER $5000,4,6,February,2008,2400 W 8TH AVE   ,2400 W 8TH AVE,2400 W 8TH AVE,49.264828,-123.1598845,,
2-15-08,9:00 PM,2-15-08 9:00 PM,2100,THEFT BICYCLE UNDER $5000,4,6,February,2008,1300 W 70TH AVE   ,1300 W 70TH AVE,1300 W 70TH AVE,49.2085548,-123.1369021,,
2-15-08,10:00 PM,2-15-08 10:00 PM,2200,THEFT BICYCLE UNDER $5000,4,6,February,2008,3500 OAK ST    ,3500 OAK ST,3500 OAK ST,49.2539727,-123.1273492,,
2-16-08,11:30 AM,2-16-08 11:30 AM,1130,THEFT BICYCLE UNDER $5000,3,7,February,2008,3500 DEASE LANE    ,3500 DEASE LANE,3500 DEASE LANE,49.2227763,-123.0265243,,
2-17-08,1:58 AM,2-17-08 1:58 AM,158,THEFT BICYCLE UNDER $5000,4,1,February,2008,600 W 6TH AVE   ,600 W 6TH AVE,600 W 6TH AVE,49.2658274,-123.1174018,,
2-17-08,12:00 PM,2-17-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,1,1,February,2008,300 ROBSON ST    ,300 ROBSON ST,300 ROBSON ST,49.2791633,-123.1164515,,
2-17-08,4:30 PM,2-17-08 4:30 PM,1630,THEFT BICYCLE UNDER $5000,1,1,February,2008,1900 BARCLAY ST    ,1900 BARCLAY ST,1900 BARCLAY ST,49.2911317,-123.1392138,,
2-20-08,11:00 AM,2-20-08 11:00 AM,1100,THEFT BICYCLE UNDER $5000,4,4,February,2008,1900 W 13TH AVE   ,1900 W 13TH AVE,1900 W 13TH AVE,49.2599799,-123.1481276,,
2-20-08,3:00 PM,2-20-08 3:00 PM,1500,THEFT BICYCLE UNDER $5000,4,4,February,2008,1400 CARTWRIGHT ST    ,1400 CARTWRIGHT ST,1400 CARTWRIGHT ST,49.2701167,-123.1352129,,
2-22-08,12:00 AM,2-22-08 12:00 AM,0,THEFT BICYCLE UNDER $5000,4,6,February,2008,PINE CRES / W 35TH AVE,PINE CRES / W 35TH AVE,PINE CRES & W 35TH AVE,49.2399691,-123.1469372,,
2-23-08,12:00 AM,2-23-08 12:00 AM,0,THEFT BICYCLE UNDER $5000,4,7,February,2008,1800 W 7TH AVE   ,1800 W 7TH AVE,1800 W 7TH AVE,49.2654677,-123.1466741,,
2-23-08,1:00 AM,2-23-08 1:00 AM,100,THEFT BICYCLE UNDER $5000,4,7,February,2008,1500 W 8TH AVE   ,1500 W 8TH AVE,1500 W 8TH AVE,49.2644923,-123.1386387,,
2-23-08,1:00 PM,2-23-08 1:00 PM,1300,THEFT BICYCLE UNDER $5000,4,7,February,2008,1300 JOHNSTON ST    ,1300 JOHNSTON ST,1300 JOHNSTON ST,49.2702105,-123.132794,,
2-23-08,7:00 PM,2-23-08 7:00 PM,1900,THEFT BICYCLE UNDER $5000,4,7,February,2008,500 BLOCK W 28TH AVE  ,500 W 28TH AVE,500 W 28TH AVE,49.2461041,-123.1158783,,
2-24-08,3:00 AM,2-24-08 3:00 AM,300,THEFT BICYCLE UNDER $5000,99,1,February,2008,1 NK_LOC,1 NK_LOC,1 NK_LOC,, ,,
2-24-08,4:50 AM,2-24-08 4:50 AM,450,THEFT BICYCLE UNDER $5000,1,1,February,2008,1900 ALBERNI ST    ,1900 ALBERNI ST,1900 ALBERNI ST,49.2931588,-123.1358707,,
2-24-08,7:30 PM,2-24-08 7:30 PM,1930,THEFT BICYCLE UNDER $5000,4,1,February,2008,2300 W BROADWAY AVE   ,2300 W BROADWAY AVE,2300 W BROADWAY,49.263744,-123.1578142,,
2-25-08,1:23 PM,2-25-08 1:23 PM,1323,THEFT BICYCLE UNDER $5000,4,2,February,2008,500 W 16TH AVE   ,500 W 16TH AVE,500 W 16TH AVE,49.2569015,-123.1156714,,
2-25-08,8:40 PM,2-25-08 8:40 PM,2040,THEFT BICYCLE UNDER $5000,2,2,February,2008,COMMERCIAL DR / GRANT ST,COMMERCIAL DR / GRANT ST,COMMERCIAL DR & GRANT ST,49.2712863,-123.0695676,,
2-25-08,9:00 PM,2-25-08 9:00 PM,2100,THEFT BICYCLE UNDER $5000,4,2,February,2008,2400 YEW ST    ,2400 YEW ST,2400 YEW ST,49.2648011,-123.1552145,,
2-26-08,10:54 PM,2-26-08 10:54 PM,2254,THEFT BICYCLE UNDER $5000,2,3,February,2008,KEEFER ST / COLUMBIA ST,KEEFER ST / COLUMBIA ST,KEEFER ST & COLUMBIA ST,49.2792596,-123.1022049,,
2-27-08,1:38 AM,2-27-08 1:38 AM,138,THEFT BICYCLE UNDER $5000,2,4,February,2008,KEEFER ST / COLUMBIA ST,KEEFER ST / COLUMBIA ST,KEEFER ST & COLUMBIA ST,49.2792596,-123.1022049,,
2-27-08,8:00 PM,2-27-08 8:00 PM,2000,THEFT BICYCLE UNDER $5000,2,4,February,2008,E PENDER ST / MAIN ST,E PENDER ST / MAIN ST,E PENDER ST & MAIN ST,49.2803878,-123.0996944,,
2-28-08,1:15 AM,2-28-08 1:15 AM,115,THEFT BICYCLE UNDER $5000,2,5,February,2008,200 W HASTINGS ST   ,200 W HASTINGS ST,200 W HASTINGS ST,49.2824737,-123.1094775,,
2-28-08,5:45 PM,2-28-08 5:45 PM,1745,THEFT BICYCLE UNDER $5000,4,5,February,2008,600 W 10TH AVE   ,600 W 10TH AVE,600 W 10TH AVE,49.2620154,-123.1188651,,
2-29-08,12:00 AM,2-29-08 12:00 AM,0,THEFT BICYCLE UNDER $5000,1,6,February,2008,1200 BROUGHTON ST    ,1200 BROUGHTON ST,1200 BROUGHTON ST,49.2837012,-123.1362827,,
2-29-08,8:45 AM,2-29-08 8:45 AM,845,THEFT BICYCLE UNDER $5000,4,6,February,2008,500 WHEELHOUSE SQ    ,500 WHEELHOUSE SQ,500 WHEELHOUSE SQ,49.2691703,-123.1161566,,
3-1-08,8:00 AM,3-1-08 8:00 AM,800,THEFT BICYCLE UNDER $5000,1,7,March,2008,1200 BURNABY ST    ,1200 BURNABY ST,1200 BURNABY ST,49.2811303,-123.1345169,,
3-1-08,3:00 PM,3-1-08 3:00 PM,1500,THEFT BICYCLE UNDER $5000,4,7,March,2008,1800 BLOCK FIR ST   ,1800 FIR ST,1800 FIR ST,49.2696661,-123.140774,,
3-1-08,3:30 PM,3-1-08 3:30 PM,1530,THEFT BICYCLE UNDER $5000,3,7,March,2008,3300 DIEPPE DR    ,3300 DIEPPE DR,3300 DIEPPE DR,49.2554095,-123.0250373,,
3-1-08,6:00 PM,3-1-08 6:00 PM,1800,THEFT BICYCLE UNDER $5000,4,7,March,2008,W BROADWAY AVE / MACDONALD ST,W BROADWAY AVE / MACDONALD ST,MACDONALD ST & W BROADWAY,49.2640813,-123.1682186,,
3-1-08,10:00 PM,3-1-08 10:00 PM,2200,THEFT BICYCLE UNDER $5000,3,7,March,2008,200 E 4TH AVE   ,200 E 4TH AVE,200 E 4TH AVE,49.2673053,-123.1007577,,
3-1-08,10:00 PM,3-1-08 10:00 PM,2200,THEFT BICYCLE UNDER $5000,3,7,March,2008,200 E 4TH AVE   ,200 E 4TH AVE,200 E 4TH AVE,49.2673053,-123.1007577,,
3-2-08,2:29 PM,3-2-08 2:29 PM,1429,THEFT BICYCLE UNDER $5000,2,1,March,2008,CAMBIE ST / W CORDOVA ST,CAMBIE ST / W CORDOVA ST,CAMBIE ST & W CORDOVA ST,49.2835381,-123.1091411,,
3-2-08,9:00 PM,3-2-08 9:00 PM,2100,THEFT BICYCLE UNDER $5000,4,1,March,2008,3200 MAIN ST    ,3200 MAIN ST,3200 MAIN ST,49.2565349,-123.1012195,,
3-2-08,11:00 PM,3-2-08 11:00 PM,2300,THEFT BICYCLE UNDER $5000,3,1,March,2008,5500 CULLODEN ST    ,5500 CULLODEN ST,5500 CULLODEN ST,49.2348258,-123.078323,,
3-3-08,5:30 PM,3-3-08 5:30 PM,1730,THEFT BICYCLE UNDER $5000,4,2,March,2008,STEPHENS ST / W BROADWAY AVE,STEPHENS ST / W BROADWAY AVE,STEPHENS ST & W BROADWAY,49.2640617,-123.1664977,,
3-4-08,6:30 AM,3-4-08 6:30 AM,630,THEFT BICYCLE UNDER $5000,1,3,March,2008,1000 HOMER ST    ,1000 HOMER ST,1000 HOMER ST,49.2773369,-123.1201873,,
3-4-08,1:00 PM,3-4-08 1:00 PM,1300,THEFT BICYCLE UNDER $5000,4,3,March,2008,SASAMAT ST / W 7TH AVE,SASAMAT ST / W 7TH AVE,SASAMAT ST & W 7TH AVE,49.2664226,-123.2090286,,
3-5-08,12:00 AM,3-5-08 12:00 AM,0,THEFT BICYCLE UNDER $5000,99,4,March,2008,1 NK_LOC,1 NK_LOC,1 NK_LOC,, ,,
3-5-08,9:30 AM,3-5-08 9:30 AM,930,THEFT BICYCLE UNDER $5000,4,4,March,2008,1300 JOHNSTON ST    ,1300 JOHNSTON ST,1300 JOHNSTON ST,49.2702105,-123.132794,,
3-5-08,9:40 AM,3-5-08 9:40 AM,940,THEFT BICYCLE UNDER $5000,2,4,March,2008,1400 VENABLES ST    ,1400 VENABLES ST,1400 VENABLES ST,49.2767445,-123.0757597,,
3-6-08,8:00 AM,3-6-08 8:00 AM,800,THEFT BICYCLE UNDER $5000,4,5,March,2008,1200 CARTWRIGHT ST    ,1200 CARTWRIGHT ST,1200 CARTWRIGHT ST,49.2695242,-123.1320132,,
3-6-08,1:15 PM,3-6-08 1:15 PM,1315,THEFT BICYCLE UNDER $5000,2,5,March,2008,0 BLOCK E HASTINGS ST  ,0 E HASTINGS ST,0 E HASTINGS ST,49.2814652,-123.1042387,,
3-6-08,4:00 PM,3-6-08 4:00 PM,1600,THEFT BICYCLE UNDER $5000,4,5,March,2008,SPRUCE ST / W 14TH AVE,SPRUCE ST / W 14TH AVE,SPRUCE ST & W 14TH AVE,49.2587323,-123.1291927,,
3-6-08,4:47 PM,3-6-08 4:47 PM,1647,THEFT BICYCLE UNDER $5000,4,5,March,2008,4100 W 8TH AVE   ,4100 W 8TH AVE,4100 W 8TH AVE,49.2653698,-123.196201,,
3-6-08,5:00 PM,3-6-08 5:00 PM,1700,THEFT BICYCLE UNDER $5000,4,5,March,2008,1300 W 13TH AVE   ,1300 W 13TH AVE,1300 W 13TH AVE,49.2597402,-123.1337398,,
3-6-08,5:30 PM,3-6-08 5:30 PM,1730,THEFT BICYCLE UNDER $5000,4,5,March,2008,4300 SOPHIA ST    ,4300 SOPHIA ST,4300 SOPHIA ST,49.2466667,-123.099141,,
3-7-08,12:00 AM,3-7-08 12:00 AM,0,THEFT BICYCLE UNDER $5000,4,6,March,2008,2900 COLUMBIA ST    ,2900 COLUMBIA ST,2900 COLUMBIA ST,49.2593384,-123.1095781,,
3-7-08,10:30 AM,3-7-08 10:30 AM,1030,THEFT BICYCLE UNDER $5000,4,6,March,2008,100 W 49TH AVE   ,100 W 49TH AVE,100 W 49TH AVE,49.2257492,-123.1094354,,
3-8-08,5:00 PM,3-8-08 5:00 PM,1700,THEFT BICYCLE UNDER $5000,3,7,March,2008,E 12TH AVE / MAIN ST,E 12TH AVE / MAIN ST,E 12TH AVE & MAIN ST,49.2602,-123.101166,,
3-8-08,7:55 PM,3-8-08 7:55 PM,1955,THEFT BICYCLE UNDER $5000,2,7,March,2008,500 E HASTINGS ST   ,500 E HASTINGS ST,500 E HASTINGS ST,49.2812178,-123.0933209,,
3-9-08,4:00 PM,3-9-08 4:00 PM,1600,THEFT BICYCLE UNDER $5000,1,1,March,2008,900 CANADA PL    ,900 CANADA PL,900 CANADA PL,49.2872868,-123.1137298,,
3-10-08,1:00 PM,3-10-08 1:00 PM,1300,THEFT BICYCLE UNDER $5000,4,2,March,2008,200 BLOCK W BROADWAY AVE  ,200 W BROADWAY AVE,200 W BROADWAY,49.2631115,-123.109532,,
3-10-08,4:00 PM,3-10-08 4:00 PM,1600,THEFT BICYCLE UNDER $5000,1,2,March,2008,MARINASIDE CRES / NELSON ST,MARINASIDE CRES / NELSON ST,MARINASIDE CRES & NELSON ST,49.2741202,-123.1149806,,
3-11-08,2:55 PM,3-11-08 2:55 PM,1455,THEFT BICYCLE UNDER $5000,4,3,March,2008,2700 LAUREL ST    ,2700 LAUREL ST,2700 LAUREL ST,49.2615307,-123.1253629,,
3-11-08,8:00 PM,3-11-08 8:00 PM,2000,THEFT BICYCLE UNDER $5000,2,3,March,2008,2500 FRANKLIN ST    ,2500 FRANKLIN ST,2500 FRANKLIN ST,49.2820589,-123.0546811,,
3-11-08,10:34 PM,3-11-08 10:34 PM,2234,THEFT BICYCLE UNDER $5000,4,3,March,2008,0 BLOCK W 11TH AVE  ,0 W 11TH AVE,0 W 11TH AVE,49.2611625,-123.1050697,,
3-12-08,8:45 AM,3-12-08 8:45 AM,845,THEFT BICYCLE UNDER $5000,4,4,March,2008,3100 ONTARIO ST    ,3100 ONTARIO ST,3100 ONTARIO ST,49.2575163,-123.1051207,,
3-12-08,10:00 AM,3-12-08 10:00 AM,1000,THEFT BICYCLE UNDER $5000,4,4,March,2008,1500 W 3RD AVE   ,1500 W 3RD AVE,1500 W 3RD AVE,49.2688444,-123.1384838,,
3-12-08,5:41 PM,3-12-08 5:41 PM,1741,THEFT BICYCLE UNDER $5000,2,4,March,2008,700 JACKSON AVE    ,700 JACKSON AVE,700 JACKSON AVE,49.278475,-123.0935271,,
3-12-08,9:00 PM,3-12-08 9:00 PM,2100,THEFT BICYCLE UNDER $5000,2,4,March,2008,2100 E 6TH AVE   ,2100 E 6TH AVE,2100 E 6TH AVE,49.2649939,-123.0618719,,
