Ministry,Request #,Applicant,Description,End Date,Disposition,Publication Status,Reason
Aboriginal Relations and Reconciliation,ARR-2012-00034,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframes of October 1, 2011 - October 31, 2011 and April 1, 2012 - May 31, 2012.", 19-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00036,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe of October 1, 2011 to October 31, 2011 and April 1, 2012 - May 31, 2012.", 19-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00043,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 24-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00044,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 24-Aug-2012,Full Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00046,Political Party,"The Deputy Minister's Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 24-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00047,Political Party,"The Assistant Deputy Ministers' Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 24-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00049,Individual,"Copies of all documents regarding the BC Government's July 23, 2012 announcement on conditions for pipelines crossing through BC. Time frame is January 1, 2012 to July 27, 2012.", 16-Aug-2012,Partial Disclosure,Do Not Publish,Business Information
Aboriginal Relations and Reconciliation,ARR-2012-00050,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe July 1, 2012 to July 31, 2012.", 11-Sep-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00051,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe July 1, 2012  to  July 31, 2012.", 11-Sep-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00053,Political Party,"The Deputy Minister's Outlook calendar for the timeframe July 1, 2012  to July 31, 2012.", 10-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00064,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe August 1, 2012 to August 31, 2012.", 16-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00065,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe August 1, 2012 to August 31, 2012.", 16-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00067,Political Party,"The Deputy Minister's Outlook calendar for the timeframe August 1, 2012 to August 31, 2012.", 16-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2011-00017,Political Party,"All records, in any form, related to the Minister's or Minister of State's Outlook calendar for the timeframe of April 1, 2011 to June 30, 2011 in Calendar Detail Style.", 02-Aug-2011,Full Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2011-00018,Political Party,"All records, in any form, related to the Ministerial Assistant's Outlook calendar for the timeframe of April 1, 2011 to June 30, 2011 in Calendar Detail Style.", 02-Aug-2011,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2011-00019,Political Party,"All records, in any form, related to the Deputy Minister's Outlook calendar for the timeframe of April 1, 2011 to June 30, 2011 in Calendar Detail Style.", 21-Jul-2011,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2011-00022,Political Party,"All records, in any form, related to the Deputy Minister's Outlook calendar for the timeframe of July 1, 2011 to July 31, 2011.", 27-Oct-2011,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2011-00023,Political Party,"All records, in any form, related to the Minister's Outlook calendar for the timeframe of July 1, 2011 to July 31, 2011.", 18-Aug-2011,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2011-00024,Political Party,"All records, in any form, related to the Ministerial Assistant's Outlook calendar for the timeframe of July 1, 2011 to July 31, 2011.", 17-Aug-2011,Full Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2011-00032,Political Party,"Any and all records related to the Assistant Deputy Minister's Outlook calendar for the timeframe of January 1, 2011 to July 31, 2011", 17-Nov-2011,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2011-00034,Political Party,"The Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 04-Oct-2011,Full Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2011-00035,Political Party,"The Deputy Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 14-Dec-2011,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2011-00036,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 04-Oct-2011,Full Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2011-00042,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 06-Dec-2011,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2011-00054,Political Party,"The Deputy Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011.", 10-Jan-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2011-00055,Political Party,"The Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011.", 10-Jan-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2011-00056,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011", 10-Jan-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2011-00057,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011.", 23-Nov-2011,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2011-00060,Business,"All records, emails, memos, reports, notes, letters and similar that have anything to do with the Student Aid BC designation removal and designation reviews of Cancom Consulting Corporation or Academy of Learning, Vancouver for the last 5 years; All records, emails, memos, reports, notes, letters and similar that have anything to do with the designation review and the decision not to remove Student Aid BC designation of the Native Education Center for the last 5 years.", 07-May-2012,Partial Disclosure,Do Not Publish,Business Information
"Advanced Education, Innovation and Technology",AED-2012-00001,Individual,"Any and all reports and analysis on the quality of teaching at University Canada West; Any and all complaints filed by students or staff at University Canada West, and other Eminata Group schools in BC (CDI, Vancouver Career College, PCU and Visual College of Art and Design) including unpublished lawsuits; A record of all meetings between Eminata Group representatives and Ministry of Advanced Education employees since 2008; Audits and assessments of University Canada West and Quest University degrees from the Degree Quality Assessment Board from 2009 to [January 3, 2012].", 17-May-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00003,Political Party,"The Outlook Calendar of the Minister's Office Administrative Assistant for the timeframe October 31, 2011 to December 31, 2011.", 02-Feb-2012,Full Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00004,Political Party,"The Deputy Minister's Outlook calendar for the timeframe October 31, 2011 to December 31, 2011.", 19-Mar-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00005,Political Party,"The Minister's Outlook calendar for the timeframe October 31, 2011 to December 31, 2011.", 16-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00006,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe Oct 31, 2011 to Dec 31, 2011.", 28-Mar-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00007,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe October 31, 2011 to December 31, 2011.", 16-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00008,Media,"The Minister's Outlook calendar for the period January 1, 2011 to September 30, 2011.", 02-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00009,Law Firm,"Records relating to the decision by Student Aid BC and the Ministry of Advanced Education to not grant a new student loan designation to Automotive Training Centres Limited of Surrey BC and other institutions, as fully specified and described in a separate document.", 09-May-2012,Partial Disclosure,Do Not Publish,Business Information
"Advanced Education, Innovation and Technology",AED-2012-00019,Political Party,"Any material developed for the Minister's trip to China in June of 2011, including but not limited to briefing notes, background materials or correspondence with any Canadian or Chinese institutions visited during the trip.  Time frame is March 14, 2011 to July 1, 2011.", 01-Jun-2012,Partial Disclosure,Do Not Publish,Business Information
"Advanced Education, Innovation and Technology",AED-2012-00028,Individual,"Any emails or other communications sent between Harry Bloy MLA and Minister of State for Multiculturalism and any officers, representatives, employees or persons otherwise associated with the Eminata Group particularly in reference to the emails received from The Province Newspaper and forwarded to Eminata in March 2012; Any communications between the Ministry of Advanced Education, Harry Bloy MLA, The Province Newspaper, and Eminata referring, relating or mentioning the incident in which Harry Bloy MLA forwarded emails from The Province Newspaper to representatives, officers or persons otherwise associated with the Eminata group; Any communications between staff, ministers or government members or officials in the Office of the Premier, Ministry of Advanced Education, Executive Council, Public Affairs Bureau or other departments mentioning or related to the incident in which emails received from The Province Newspaper were forwarded by senior staff to Harry Bloy MLA and which were then forwarded to the Eminata Group, and any communications after the event relating to the government's response to the incident, and any documents or work product that discusses or prepares for Harry Bloy MLA's statement taking responsibility for the forwarding of the email including any policies or documents that detail email responsibility on the part of MLAs and senior Ministry staff, particularly any that would describe whether or not it is permissible to forward emailed requests for comment from media to MLAs or government members.", 26-Jul-2012,Partial Disclosure,Do Not Publish,Business Information
"Advanced Education, Innovation and Technology",AED-2012-00030,Media,"All email sent and received by Rishi Sharma during the period of February 20, 2012 to February 22, 2012.", 11-Jun-2012,Partial Disclosure,Do Not Publish,Business Information
"Advanced Education, Innovation and Technology",AED-2012-00033,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 12-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00035,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 15-May-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00036,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 28-Jun-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00037,Political Party,"The Deputy Minister's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 12-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00047,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframes October 1, 2011 - October 31, 2011 and April 1, 2012 - May 31, 2012.", 10-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00048,Political Party,"The Deputy Minister's Outlook calendar for the timeframes October 1, 2011 - October 31, 2011 and April 1, 2012 - May 31, 2012", 31-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00049,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframes of October 1, 2011 - October 31, 2011 and April 1, 2012 - May 31, 2012.", 31-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00051,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe of October 1, 2011 to October 31, 2011 and April 1, 2012 - May 31, 2012.", 20-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00062,Business,"Any and all records with respect to the June 15, 2012, determination by Jacqui Stewart, Executive Director Post-Secondary Audit and Accountability Branch, to not renew the Designation Agreement with Sprott-Shaw Community College's Victoria and Nanaimo campuses ¿ including but not limited to, records with respect to the 2011 B.C. student loan default rate and student loan repayment rate for the Victoria and Nanaimo campuses; and comparisons of default rates for both the Victoria and Nanaimo campuses as against `institutions of similar sector and/or size.", 04-Oct-2012,Partial Disclosure,Do Not Publish,Business Information
"Advanced Education, Innovation and Technology",AED-2012-00063,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 31-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00064,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 31-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00066,Political Party,"The Deputy Minister's Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 29-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00067,Political Party,"The Assistant Deputy Ministers' Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 16-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00070,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe July 1, 2012 to July 31, 2012.", 13-Sep-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00071,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe July 1, 2012  to  July 31, 2012.", 13-Sep-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00073,Political Party,"The Deputy Minister's Outlook calendar for the timeframe July 1, 2012  to July 31, 2012.", 07-Sep-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00089,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe August 1, 2012 to August 31, 2012.", 16-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00090,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe August 1, 2012 to August 31, 2012.", 16-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
"Advanced Education, Innovation and Technology",AED-2012-00092,Political Party,"The Deputy Minister's Outlook calendar for the timeframe August 1, 2012 to August 31, 2012.", 15-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2011-00026,Political Party,"All records, in any form, related to the Minister's or Minister of State's Outlook calendar for the timeframe of April 1, 2011 to June 30, 2011 in Calendar Detail Style.", 16-Aug-2011,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2011-00027,Political Party,"All records, in any form, related to the Ministerial Assistant's Outlook calendar for the timeframe of April 1, 2011 to June 30, 2011 in Calendar Detail Style.", 08-Aug-2011,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2011-00028,Political Party,"All records, in any form, related to the Deputy Minister's Outlook calendar for the timeframe of April 1, 2011 to June 30, 2011 in Calendar Detail Style.", 22-Sep-2011,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2011-00030,Political Party,"All records, in any form, related to the Deputy Minister's Outlook calendar for the timeframe of July 1, 2011 to July 31, 2011.", 26-Oct-2011,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2011-00031,Political Party,"All records, in any form, related to the Minister's Outlook calendar for the timeframe of July 1, 2011 to July 31, 2011.", 12-Sep-2011,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2011-00032,Political Party,"All records, in any form, related to the Ministerial Assistant's Outlook calendar for the timeframe of July 1, 2011 to July 31, 2011.", 12-Sep-2011,Full Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2011-00036,Political Party,"Any and all records related to the Assistant Deputy Minister's Outlook calendar for the timeframe of January 1, 2011 to July 31, 2011", 14-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2011-00038,Political Party,"The Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 26-Sep-2011,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2011-00039,Political Party,"The Deputy Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 24-Nov-2011,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2011-00040,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 26-Sep-2011,Full Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2011-00045,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 25-Nov-2011,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2011-00053,Political Party,"The Deputy Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011.", 30-Dec-2011,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2011-00054,Political Party,"The Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011.", 08-Nov-2011,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2011-00055,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011.", 08-Nov-2011,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2011-00056,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011", 12-Jan-2012,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2011-00059,Individual,"Correspondence from the Minister's Office file regarding 90 Winson Road, Abbotsford BC, the ongoing processing operation Pacific Coast Fruit Products, Copper Seven, Valley berries and the Berry Guys.  Date range is January 2011 to [November 25, 2011].", 11-Jan-2012,Full Disclosure,Do Not Publish,Personal Information
Agriculture,AGR-2012-00001,Political Party,"The Outlook Calendar of the Minister's Office Administrative Assistant for the timeframe October 31, 2011 to December 31, 2011.", 20-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2012-00002,Political Party,"The Minister's Outlook calendar for the timeframe October 31, 2011 to December 31, 2011.", 17-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2012-00003,Political Party,"The Deputy Minister's Outlook calendar for the timeframe October 31, 2011 to December 31, 2011.", 02-Apr-2012,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2012-00004,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe Oct 31, 2011 to Dec 31, 2011.", 18-Apr-2012,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2012-00005,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe October 31, 2011 to December 31, 2011.", 17-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2012-00006,Media,"The Minister's Outlook calendar for the period January 1, 2011 to September 30, 2011.", 13-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2012-00024,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 09-May-2012,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2012-00026,Political Party,"The Minister's Office Administrative Assistant's Outlook Calendar for the timeframe January 1, 2012 to March 31, 2012.", 09-May-2012,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2012-00027,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 09-May-2012,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2012-00028,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 21-Jun-2012,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2012-00029,Political Party,"The Deputy Minister's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 03-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2012-00037,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframes October 1, 2011 - October 31, 2011 and April 1, 2012 - May 31, 2012.", 16-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
Agriculture,AGR-2012-00038,Political Party,"The Deputy Minister's Outlook calendar for the timeframes October 1, 2011 - October 31, 2011 and April 1, 2012 - May 31, 2012", 03-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
