CONTRIBUTOR_NAME,DATE,AMOUNT,CLASS,PRINCIPAL_OFFICER_1,PRINCIPAL_OFFICER_2,PARTY,CONTRIBUTION_TYPE,EVENT_DATE
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-05-12,100,4,,,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-05-16,100,4,,,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-05-16,100,4,,,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-05-16,100,4,,,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-05-17,100,4,,,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-05-17,100,4,,,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-05-17,100,4,,,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-05-17,100,4,,,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-05-17,100,4,,,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-05-17,100,4,,,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-12-09,200,4,,,BC NDP,,
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS LOCAL 1517 VERNON,2005-05-10,1000,4,,,BC NDP,,
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS LOCAL 730 VICTORIA,2005-04-29,1000,4,,,BC NDP,,
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS LOCAL 730 VICTORIA,2005-05-12,1000,4,,,BC NDP,,
TEAMSTERS UNION LOCAL 213,2005-04-27,500,4,,,BC NDP,,
TEAMSTERS UNION LOCAL 213,2005-04-29,100,4,,,BC NDP,,
TEAMSTERS UNION LOCAL 213,2005-05-02,1000,4,,,BC NDP,,
TEAMSTERS UNION LOCAL 213,2005-05-06,400,4,,,BC NDP,,
TEAMSTERS UNION LOCAL 213,2005-05-09,600,4,,,BC NDP,,
TEAMSTERS UNION LOCAL 213,2005-05-11,600,4,,,BC NDP,,
TEAMSTERS UNION LOCAL 155,2005-05-05,585,4,,,BC NDP,,
TEAMSTERS UNION LOCAL 155,2005-05-17,500,4,,,BC NDP,,
TEAMSTERS UNION LOCAL 155,2005-05-17,500,4,,,BC NDP,,
TEAMSTERS UNION LOCAL 155,2005-05-17,1000,4,,,BC NDP,,
TEAMSTERS UNION LOCAL 155,2005-11-10,1000,4,,,BC NDP,,
TEAMSTERS UNION LOCAL 31,2005-03-24,1000,4,,,BC NDP,,
TEAMSTERS UNION LOCAL 31,2005-04-29,400,4,,,BC NDP,,
TEAMSTERS UNION LOCAL 31,2005-05-02,300,4,,,BC NDP,,
TEAMSTERS UNION LOCAL 31,2005-11-24,200,4,,,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2006-06-16,578,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC & YUKON TERRITORY BUILDING & CONSTRUCTION TRADES COUNCIL,2006-03-30,1000,4,GARY KROEKER,JIM PAQUETTE,BC NDP,,
BC & YUKON TERRITORY BUILDING & CONSTRUCTION TRADES COUNCIL,2006-05-18,500,4,GARY KROEKER,JIM PAQUETTE,BC NDP,,
BC & YUKON TERRITORY BUILDING & CONSTRUCTION TRADES COUNCIL,2006-11-30,150,4,GARY KROEKER,JIM PAQUETTE,BC NDP,,
BC & YUKON TERRITORY BUILDING & CONSTRUCTION TRADES COUNCIL,2006-11-30,400,4,GARY KROEKER,JIM PAQUETTE,BC NDP,,
BC & YUKON TERRITORY BUILDING & CONSTRUCTION TRADES COUNCIL,2006-11-30,200,4,GARY KROEKER,JIM PAQUETTE,BC NDP,,
BC COUNCIL OF FILM UNIONS,2006-06-02,150,4,ELMER THEISSEN,TOM MILNE,BC NDP,,
BC COUNCIL OF FILM UNIONS,2006-09-20,400,4,ELMER THEISSEN,TOM MILNE,BC NDP,,
BC FEDERATION OF LABOUR,2006-03-24,240,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2006-03-24,300,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2006-03-24,200,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2006-04-27,100,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2006-05-04,80,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2006-06-08,140,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2006-08-03,130,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2006-08-17,600,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2006-08-31,100,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2006-09-20,200,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2006-09-26,200,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2006-10-05,250,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2006-10-31,400,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2006-11-30,750,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2006-11-30,200,4,KEN GEROGETTI,HASSAN YUSSUFF,BC NDP,,
CONSTRUCTION & GENERAL WORKERS’ UNION LOCAL 602,2006-12-20,500,4,BRUCE FERGUSON,RICK CLARKSON,BC NDP,,
CONSTRUCTION & SPECIALIZED WORKERS' UNION LOCAL 1611,2006-09-26,300,4,BRUCE FERGUSON,RICHARD GORDON,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-05-18,1350,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-06-15,200,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-06-15,280,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-06-29,200,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-08-03,1495,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-08-11,675,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-08-31,300,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-09-20,800,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-09-28,150,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-10-31,400,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-10-31,175,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-12-31,60,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-12-31,75,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-12-31,50,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-12-31,300,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-12-31,300,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2006-05-12,400,4,BARRY ONEILL,MARK HANCOCK,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2006-06-15,200,4,BARRY ONEILL,MARK HANCOCK,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2006-06-29,240,4,BARRY ONEILL,MARK HANCOCK,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2006-08-03,260,4,BARRY ONEILL,MARK HANCOCK,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2006-08-11,180,4,BARRY ONEILL,MARK HANCOCK,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2006-08-17,400,4,BARRY ONEILL,MARK HANCOCK,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2006-08-24,200,4,BARRY ONEILL,MARK HANCOCK,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2006-09-20,200,4,BARRY ONEILL,MARK HANCOCK,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2006-10-12,200,4,BARRY ONEILL,MARK HANCOCK,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2006-11-23,200,4,BARRY ONEILL,MARK HANCOCK,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2006-11-30,240,4,BARRY ONEILL,MARK HANCOCK,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2006-12-31,200,4,BARRY ONEILL,MARK HANCOCK,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2006-12-31,250,4,BARRY ONEILL,MARK HANCOCK,BC NDP,,
AMBULANCE PARAMEDICS OF BC CUPE 873,2006-06-02,750,4,JOHN STROHMAIER,TOM MANZ,BC NDP,,
AMBULANCE PARAMEDICS OF BC CUPE 873,2006-12-15,200,4,JOHN STROHMAIER,TOM MANZ,BC NDP,,
HEALTH SCIENCES ASSOCIATION OF BC,2006-11-23,1000,4,CINDY STEWART,BRIAN ISBERG,BC NDP,,
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS BCPFFA HQ,2006-06-02,300,4,AL LEIER,ROBERT HALL,BC NDP,,
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS LOCAL 1271 SURREY,2006-08-03,325,4,LARRY THOMAS,MIKE STARCHUCK,BC NDP,,
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS LOCAL 18 VANCOUVER,2006-05-18,100,4,ROD MACDONALD,AL GREGORY,BC NDP,,
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS LOCAL 18 VANCOUVER,2006-06-02,600,4,ROD MACDONALD,AL GREGORY,BC NDP,,
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS LOCAL 18 VANCOUVER,2006-08-18,100,4,ROD MACDONALD,AL GREGORY,BC NDP,,
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS LOCAL 18 VANCOUVER,2006-11-30,200,4,ROD MACDONALD,AL GREGORY,BC NDP,,
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS LOCAL 18 VANCOUVER,2006-12-15,100,4,ROD MACDONALD,AL GREGORY,BC NDP,,
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS LOCAL 18 VANCOUVER,2006-12-15,150,4,ROD MACDONALD,AL GREGORY,BC NDP,,
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS LOCAL 323 BURNABY,2006-12-31,300,4,MICHAEL HURLEY,ROB LAMEROUX,BC NDP,,
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS SURREY,2006-03-30,400,4,LARRY THOMAS,MIKE STARCHUK,BC NDP,,
INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS LOCAL LODGE 692,2006-10-20,200,4,CORDELL DRAAYERS,BRUCE RICHARDS,BC NDP,,
INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS LOCAL LODGE 692,2006-11-30,750,4,CORDELL DRAAYERS,BRUCE RICHARDS,BC NDP,,
INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES LOCAL 891,2006-06-02,450,4,ELMER THEISSEN,FRANK HADDAD,BC NDP,,
INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 500,2006-05-18,150,4,GLENN BOLKOWY,PETER HAINES,BC NDP,,
INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 500,2006-12-20,200,4,GLENN BOLKOWY,PETER HAINES,BC NDP,,
INTERNATIONAL ASSOCIATION OF BRIDGE STRUCTURAL ORNAMENTAL & REINFORCING IRON WORKERS LOCAL 712,2006-11-30,450,4,JOHN ROWAN,RENE WATTEEL,BC NDP,,
INTERNATIONAL ASSOCIATION OF BRIDGE STRUCTURAL ORNAMENTAL & REINFORCING IRON WORKERS LOCAL 712,2006-11-30,50,4,JOHN ROWAN,RENE WATTEEL,BC NDP,,
INTERNATIONAL ASSOCIATION OF BRIDGE STRUCTURAL ORNAMENTAL & REINFORCING IRON WORKERS LOCAL 712,2006-12-07,50,4,JOHN ROWAN,RENE WATTEEL,BC NDP,,
INTERNATIONAL ASSOCIATION OF BRIDGE STRUCTURAL ORNAMENTAL & REINFORCING IRON WORKERS LOCAL 712,2006-12-07,450,4,JOHN ROWAN,RENE WATTEEL,BC NDP,,
INTERNATIONAL ASSOCIATION OF BRIDGE STRUCTURAL ORNAMENTAL & REINFORCING IRON WORKERS LOCAL 97,2006-05-12,50,4,DAVE BEATTY,JAMES LELAND,BC NDP,,
INTERNATIONAL ASSOCIATION OF BRIDGE STRUCTURAL ORNAMENTAL & REINFORCING IRON WORKERS LOCAL 97,2006-08-31,200,4,DAVE BEATTY,JAMES LELAND,BC NDP,,
INTERNATIONAL ASSOCIATION OF BRIDGE STRUCTURAL ORNAMENTAL & REINFORCING IRON WORKERS LOCAL 97,2006-09-20,200,4,DAVE BEATTY,JAMES LELAND,BC NDP,,
INTERNATIONAL ASSOCIATION OF BRIDGE STRUCTURAL ORNAMENTAL & REINFORCING IRON WORKERS LOCAL 97,2006-11-30,300,4,DAVE BEATTY,JAMES LELAND,BC NDP,,
INTERNATIONAL ASSOCIATION OF BRIDGE STRUCTURAL ORNAMENTAL & REINFORCING IRON WORKERS LOCAL 97,2006-11-30,200,4,DAVE BEATTY,JAMES LELAND,BC NDP,,
INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES DISTRICT COUNCIL 38,2006-03-30,500,4,DAVE HOLMES,PAT BRYNE,BC NDP,,
INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES DISTRICT COUNCIL 38,2006-08-03,650,4,DAVE HOLMES,PAT BRYNE,BC NDP,,
INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES DISTRICT COUNCIL 38,2006-10-05,400,4,DAVE HOLMES,PAT BRYNE,BC NDP,,
INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES DISTRICT COUNCIL 38,2006-10-05,300,4,DAVE HOLMES,PAT BRYNE,BC NDP,,
INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES DISTRICT COUNCIL 38,2006-10-13,1000,4,DAVE HOLMES,PAT BRYNE,BC NDP,,
INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES DISTRICT COUNCIL 38,2006-11-30,375,4,DAVE HOLMES,PAT BRYNE,BC NDP,,
INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES DISTRICT COUNCIL 38,2006-11-30,300,4,DAVE HOLMES,PAT BRYNE,BC NDP,,
INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES DISTRICT COUNCIL 38,2006-12-01,500,4,DAVE HOLMES,PAT BRYNE,BC NDP,,
INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES DISTRICT COUNCIL 38,2006-12-20,500,4,DAVE HOLMES,PAT BRYNE,BC NDP,,
INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES DISTRICT COUNCIL 38,2006-12-31,400,4,DAVE HOLMES,PAT BRYNE,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-02-13,400,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-03-03,50,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-03-30,1000,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-05-18,900,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-06-15,320,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-06-15,500,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-06-22,800,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-06-22,100,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-08-03,150,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-08-11,450,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-08-17,1000,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-10-05,650,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-10-12,500,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-10-20,1000,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-10-31,10,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-10-31,15,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-10-31,25,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-10-31,50,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-11-23,650,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-11-23,2000,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-11-30,250,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-11-30,600,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-11-30,975,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-11-30,1000,4,FRED MUZIN,DONSIA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-12-01,150,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-12-08,500,4,FRED MUZIN,DONSIA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-12-15,525,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-12-31,500,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-12-31,675,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-12-31,1000,4,FRED MUZIN,DONSIA BERNARDO,BC NDP,,
HOSPITAL EMPLOYEES' UNION LOCAL 180,2006-12-31,120,4,FRED MUZIN,DONISA BERNARDO,BC NDP,,
NEW WESTMINSTER & DISTRICT LABOUR COUNCIL,2006-05-12,300,4,TERRI VAN STEINBURG,CAROLYN CHALIFOUX,BC NDP,,
NEW WESTMINSTER & DISTRICT LABOUR COUNCIL,2006-06-15,200,4,TERRI VAN STEINBURG,CAROLYN CHALIFOUX,BC NDP,,
