CONTRIBUTOR_NAME,DATE,AMOUNT,CLASS,PRINCIPAL_OFFICER_1,PRINCIPAL_OFFICER_2,PARTY,CONTRIBUTION_TYPE,EVENT_DATE
AMBULATORY SURGICAL CENTRES CANADA CORP,2008-06-09,350,2,,,BC UNITED,,
OVERWAITEA FOOD GROUP,2008-01-16,450,2,JIM PATTISON,STEVE VAN DER LEEST,BC UNITED,,
WESTERN CANADIAN COAL CORP,2008-10-21,3500,2,GARY LIVINGSTONE,,BC UNITED,,
FLAG CHEVROLET OLDSMOBILE LTD,2008-04-21,1800,2,SHERROLD HADDAD,,BC UNITED,,
FLAG CHEVROLET OLDSMOBILE LTD,2008-06-17,1750,2,SHERROLD HADDAD,,BC UNITED,,
FLAG CHEVROLET OLDSMOBILE LTD,2008-06-17,350,2,SHERROLD HADDAD,,BC UNITED,,
TEAL-JONES GROUP LTD,2008-10-21,3500,2,DICK JONES,TOM JONES,BC UNITED,,
KAIMAR INVESTMENT CORP,2008-09-04,250,2,PETER M KAINS,,BC UNITED,,
KEITH PLUMBING & HEATING CO LTD,2008-07-28,2000,2,PAUL MYERS,,BC UNITED,,
EARLS RESTAURANT LTD,2008-12-17,7500,2,STAN FULLER,,BC UNITED,,
BA BLACKTOP LTD,2008-12-31,5000,2,,,BC UNITED,,
NORTH SHORE CREDIT UNION,2008-12-29,7500,2,,,BC UNITED,,
LIMONA CONSTRUCTION LTD,2008-12-29,2500,2,,,BC UNITED,,
OCEANSIDE CHEVROLET LTD,2008-12-18,416.67,2,,,BC UNITED,,
A M L HOLDINGS LTD,2008-12-18,1250,2,,,BC UNITED,,
MOUNT BENSON ENTERPRISES LTD,2008-12-08,2500,2,,,BC UNITED,,
JOE CUNNINGHAM FORD LTD,2008-12-18,1000,2,,,BC UNITED,,
BC FRESH VEGETABLES INC,2008-06-17,1000,2,,,BC UNITED,,
SUPER SAVE TOILET RENTALS INC,2008-06-17,5000,2,,,BC UNITED,,
J. PEARCY & COMPANY LTD,2008-06-17,350,2,,,BC UNITED,,
GR STRATEGIES INC,2008-06-17,350,2,,,BC UNITED,,
B&B CONTRACTING LTD,2008-04-21,1200,2,KELLY BICKERTON,,BC UNITED,,
B&B CONTRACTING LTD,2008-08-18,1500,2,KELLY BICKERTON,,BC UNITED,,
B&B CONTRACTING LTD,2008-10-29,600,2,KELLY BICKERTON,,BC UNITED,,
FOCUS CORP,2008-12-18,450,2,,,BC UNITED,,
P.R. INSTALLATIONS LTD,2008-12-18,300,2,,,BC UNITED,,
FERNIE BREWING COMPANY LTD,2008-12-18,300,2,,,BC UNITED,,
YARAK PROJECTS INC,2008-12-18,300,2,,,BC UNITED,,
AGRI-GREEN BIODIESEL INC,2008-12-18,300,2,,,BC UNITED,,
STRATTON PLUMBING AND HEATING LTD,2008-12-18,300,2,,,BC UNITED,,
BIG VALLEY FOODS LTD,2008-12-18,300,2,,,BC UNITED,,
CRESCENT CONSULTING LTD,2008-12-18,300,2,,,BC UNITED,,
S&E SERVICES LIMITED PARTNERSHIP,2008-08-18,300,2,,,BC UNITED,,
CHINESE FREEMASONS INC,2008-03-28,400,2,,,BC UNITED,,
JAMES G. ABEL MD INC,2008-10-29,500,2,JAMES G. ABEL,,BC UNITED,,
CANADIAN FOREST PRODUCTS LTD,2008-04-21,2000,2,LEE COONFER,,BC UNITED,,
CANADIAN FOREST PRODUCTS LTD,2008-08-05,500,2,LEE COONFER,,BC UNITED,,
UNIVERSITY OF PHOENIX ULC,2008-05-27,1000,2,NEIL MATHUR,LINUS ANANDARAJ,BC UNITED,,
UNIVERSITY OF PHOENIX ULC,2008-04-11,2000,2,NEIL MATHUR,LINUS ANANDARAJ,BC UNITED,,
UNIVERSITY OF PHOENIX ULC,2008-09-04,1000,2,NEIL MATHUR,LINUS ANANDARAJ,BC UNITED,,
UNIVERSITY OF PHOENIX ULC,2008-09-04,2000,2,NEIL MATHUR,LINUS ANANDARAJ,BC UNITED,,
UNIVERSITY OF PHOENIX ULC,2008-09-04,1500,2,NEIL MATHUR,LINUS ANANDARAJ,BC UNITED,,
UNIVERSITY OF PHOENIX ULC,2008-09-04,1500,2,NEIL MATHUR,LINUS ANANDARAJ,BC UNITED,,
UNIVERSITY OF PHOENIX ULC,2008-09-04,1000,2,NEIL MATHUR,LINUS ANANDARAJ,BC UNITED,,
UNIVERSITY OF PHOENIX ULC,2008-09-04,1500,2,NEIL MATHUR,LINUS ANANDARAJ,BC UNITED,,
UNIVERSITY OF PHOENIX ULC,2008-09-04,500,2,NEIL MATHUR,LINUS ANANDARAJ,BC UNITED,,
CANADA INTERNATIONAL EDUCATION CENTRE,2008-10-21,1000,2,,,BC UNITED,,
CANADA INTERNATIONAL EDUCATION CENTRE,2008-10-21,500,2,,,BC UNITED,,
NATURAL POWER CONSULTANTS LTD,2008-10-21,350,2,STEVE PEARS,,BC UNITED,,
REVELSTOKE ROOF REPAIR LTD,2008-10-29,700,2,SCOTT BURKE,,BC UNITED,,
HUGGER INTERNATIONAL INC DBA DAVID PEARSON CONSTRUCTION,2008-06-25,300,2,,,BC UNITED,,
HUGGER INTERNATIONAL INC DBA DAVID PEARSON CONSTRUCTION,2008-10-29,200,2,,,BC UNITED,,
EPCOR UTILITIES INC,2008-02-08,3000,2,TIM BOSTON,,BC UNITED,,
EPCOR UTILITIES INC,2008-04-21,600,2,TIM BOSTON,,BC UNITED,,
EPCOR UTILITIES INC,2008-02-22,2000,2,TIM BOSTON,,BC UNITED,,
EPCOR UTILITIES INC,2008-03-28,2000,2,TIM BOSTON,,BC UNITED,,
HATCH MOTT MACDONALD LTD,2008-02-08,600,2,,,BC UNITED,,
HATCH MOTT MACDONALD LTD,2008-10-21,700,2,,,BC UNITED,,
ANDREW PELLER LTD,2008-12-08,600,2,JOHN PELLER,PAT RUDDLE,BC UNITED,,
COLTON FINANCIAL ULC,2008-09-19,1000,2,,,BC UNITED,,
TERASEN GAS INC,2008-04-21,600,2,DONNA MCGEACHIE,IAIN JOHNSTONE,BC UNITED,,
TERASEN GAS INC,2008-04-30,3500,2,DONNA MCGEACHIE,IAIN JOHNSTONE,BC UNITED,,
TERASEN GAS INC,2008-05-08,6876,2,DONNA MCGEACHIE,IAIN JOHNSTONE,BC UNITED,,
TERASEN GAS INC,2008-10-29,4000,2,DONNA MCGEACHIE,IAIN JOHNSTONE,BC UNITED,,
TERASEN GAS INC,2008-10-29,1200,2,DONNA MCGEACHIE,IAIN JOHNSTONE,BC UNITED,,
TERASEN GAS INC,2008-10-21,1200,2,DONNA MCGEACHIE,IAIN JOHNSTONE,BC UNITED,,
CSM-LINK II DEVELOPMENTS LTD,2008-08-18,975,2,,,BC UNITED,,
IT REPUBLIC,2008-10-25,1000,2,,,BC NDP,,
CANADA POST CORP,2008-12-24,4386.63,2,,,BC NDP,,
DUNKLEY LUMBER LTD,2009-08-11,500,2,HENRY NOVAK,,BC UNITED,,
DUNKLEY LUMBER LTD,2009-08-11,1000,2,HENRY NOVAK,,BC UNITED,,
AMEC EARTH & ENVIRONMENTAL LTD,2009-03-25,1000,2,,,BC UNITED,,
AMERICAN WINDOWS & GLASS LTD,2009-03-26,400,2,,,BC UNITED,,
AMERIGO RESOURCES LTD,2009-03-25,5000,2,STEVEN G DEAN,,BC UNITED,,
AMGEN CANADA INC,2009-02-11,200,2,,,BC UNITED,,
AMGEN CANADA INC,2009-04-08,250,2,,,BC UNITED,,
AMGEN CANADA INC,2009-05-12,250,2,,,BC UNITED,,
AMICA MATURE LIFESTYLES INC,2009-03-25,7500,2,,,BC UNITED,,
AMIEL HOLDINGS LTD,2009-03-25,1250,2,,,BC UNITED,,
574770 BC LTD AMOS REALTY,2009-05-05,500,2,,,BC UNITED,,
AMPCO ELECTRIC LTD,2009-04-15,500,2,,,BC UNITED,,
ANCHOR MECHANICAL LTD,2009-05-12,500,2,,,BC UNITED,,
ANDREW PELLER LTD,2009-02-11,500,2,JOHN PELLER,PAT RUDDLE,BC UNITED,,
ANDREW PELLER LTD,2009-02-18,250,2,JOHN PELLER,PAT RUDDLE,BC UNITED,,
ANDREW PELLER LTD,2009-12-10,4700,2,JOHN PELLER,PAT RUDDLE,BC UNITED,,
ANDREW SAXTON & SONS LTD,2009-03-02,300,2,,,BC UNITED,,
ANNE C. POSTLEWAITE INC,2009-04-24,500,2,,,BC UNITED,,
ANSELL CONSTRUCTION LTD,2009-04-20,500,2,,,BC UNITED,,
ANSON REALTY LTD,2009-03-11,2000,2,STEPHEN KWOK,,BC UNITED,,
ANTHEM PROPERTIES GROUP LTD,2009-02-18,5000,2,ERIC CARLSON,,BC UNITED,,
ANTHEM PROPERTIES GROUP LTD,2009-04-02,1500,2,ERIC CARLSON,,BC UNITED,,
ANTHEM PROPERTIES GROUP LTD,2009-04-24,3500,2,ERIC CARLSON,,BC UNITED,,
ANTHEM PROPERTIES GROUP LTD,2009-07-09,1000,2,ERIC CARLSON,,BC UNITED,,
