DateTime,Occurred_Time_From,Description,district,100 Block,Lat,Long
2-13-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,4,1300 CARTWRIGHT ST,49.2697945,-123.1338688
2-14-08 10:00 PM,2200,THEFT BICYCLE UNDER $5000,2,100 E HASTINGS ST,49.2812374,-123.1020531
2-15-08 10:00 AM,1000,THEFT BICYCLE UNDER $5000,3,1900 E 22ND AVE,49.2502817,-123.0657703
2-15-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,4,500 MOBERLY RD,49.2678017,-123.1175064
2-15-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,4,1300 JOHNSTON ST,49.2702105,-123.132794
2-15-08 5:00 PM,1700,THEFT BICYCLE UNDER $5000,4,2400 W 8TH AVE,49.264828,-123.1598845
2-15-08 9:00 PM,2100,THEFT BICYCLE UNDER $5000,4,1300 W 70TH AVE,49.2085548,-123.1369021
2-15-08 10:00 PM,2200,THEFT BICYCLE UNDER $5000,4,3500 OAK ST,49.2539727,-123.1273492
2-16-08 11:30 AM,1130,THEFT BICYCLE UNDER $5000,3,3500 DEASE LANE,49.2227763,-123.0265243
2-17-08 1:58 AM,158,THEFT BICYCLE UNDER $5000,4,600 W 6TH AVE,49.2658274,-123.1174018
2-17-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,1,300 ROBSON ST,49.2791633,-123.1164515
2-17-08 4:30 PM,1630,THEFT BICYCLE UNDER $5000,1,1900 BARCLAY ST,49.2911317,-123.1392138
2-20-08 11:00 AM,1100,THEFT BICYCLE UNDER $5000,4,1900 W 13TH AVE,49.2599799,-123.1481276
2-20-08 3:00 PM,1500,THEFT BICYCLE UNDER $5000,4,1400 CARTWRIGHT ST,49.2701167,-123.1352129
2-22-08 12:00 AM,0,THEFT BICYCLE UNDER $5000,4,PINE CRES / W 35TH AVE,49.2399691,-123.1469372
2-23-08 12:00 AM,0,THEFT BICYCLE UNDER $5000,4,1800 W 7TH AVE,49.2654677,-123.1466741
2-23-08 1:00 AM,100,THEFT BICYCLE UNDER $5000,4,1500 W 8TH AVE,49.2644923,-123.1386387
2-23-08 1:00 PM,1300,THEFT BICYCLE UNDER $5000,4,1300 JOHNSTON ST,49.2702105,-123.132794
2-23-08 7:00 PM,1900,THEFT BICYCLE UNDER $5000,4,500 W 28TH AVE,49.2461041,-123.1158783
2-24-08 3:00 AM,300,THEFT BICYCLE UNDER $5000,99,1 NK_LOC,, 
2-24-08 4:50 AM,450,THEFT BICYCLE UNDER $5000,1,1900 ALBERNI ST,49.2931588,-123.1358707
2-24-08 7:30 PM,1930,THEFT BICYCLE UNDER $5000,4,2300 W BROADWAY AVE,49.263744,-123.1578142
2-25-08 1:23 PM,1323,THEFT BICYCLE UNDER $5000,4,500 W 16TH AVE,49.2569015,-123.1156714
2-25-08 8:40 PM,2040,THEFT BICYCLE UNDER $5000,2,COMMERCIAL DR / GRANT ST,49.2712863,-123.0695676
2-25-08 9:00 PM,2100,THEFT BICYCLE UNDER $5000,4,2400 YEW ST,49.2648011,-123.1552145
2-26-08 10:54 PM,2254,THEFT BICYCLE UNDER $5000,2,KEEFER ST / COLUMBIA ST,49.2792596,-123.1022049
2-27-08 1:38 AM,138,THEFT BICYCLE UNDER $5000,2,KEEFER ST / COLUMBIA ST,49.2792596,-123.1022049
2-27-08 8:00 PM,2000,THEFT BICYCLE UNDER $5000,2,E PENDER ST / MAIN ST,49.2803878,-123.0996944
2-28-08 1:15 AM,115,THEFT BICYCLE UNDER $5000,2,200 W HASTINGS ST,49.2824737,-123.1094775
2-28-08 5:45 PM,1745,THEFT BICYCLE UNDER $5000,4,600 W 10TH AVE,49.2620154,-123.1188651
2-29-08 12:00 AM,0,THEFT BICYCLE UNDER $5000,1,1200 BROUGHTON ST,49.2837012,-123.1362827
2-29-08 8:45 AM,845,THEFT BICYCLE UNDER $5000,4,500 WHEELHOUSE SQ,49.2691703,-123.1161566
2003-01-08 8:00,800,THEFT BICYCLE UNDER $5000,1,1200 BURNABY ST,49.2811303,-123.1345169
2003-01-08 15:00,1500,THEFT BICYCLE UNDER $5000,4,1800 FIR ST,49.2696661,-123.140774
2003-01-08 15:30,1530,THEFT BICYCLE UNDER $5000,3,3300 DIEPPE DR,49.2554095,-123.0250373
2003-01-08 18:00,1800,THEFT BICYCLE UNDER $5000,4,W BROADWAY AVE / MACDONALD ST,49.2640813,-123.1682186
2003-01-08 22:00,2200,THEFT BICYCLE UNDER $5000,3,200 E 4TH AVE,49.2673053,-123.1007577
2003-01-08 22:00,2200,THEFT BICYCLE UNDER $5000,3,200 E 4TH AVE,49.2673053,-123.1007577
2003-02-08 14:29,1429,THEFT BICYCLE UNDER $5000,2,CAMBIE ST / W CORDOVA ST,49.2835381,-123.1091411
2003-02-08 21:00,2100,THEFT BICYCLE UNDER $5000,4,3200 MAIN ST,49.2565349,-123.1012195
2003-02-08 23:00,2300,THEFT BICYCLE UNDER $5000,3,5500 CULLODEN ST,49.2348258,-123.078323
2003-03-08 17:30,1730,THEFT BICYCLE UNDER $5000,4,STEPHENS ST / W BROADWAY AVE,49.2640617,-123.1664977
2003-04-08 6:30,630,THEFT BICYCLE UNDER $5000,1,1000 HOMER ST,49.2773369,-123.1201873
2003-04-08 13:00,1300,THEFT BICYCLE UNDER $5000,4,SASAMAT ST / W 7TH AVE,49.2664226,-123.2090286
2003-05-08 0:00,0,THEFT BICYCLE UNDER $5000,99,1 NK_LOC,, 
2003-05-08 9:30,930,THEFT BICYCLE UNDER $5000,4,1300 JOHNSTON ST,49.2702105,-123.132794
2003-05-08 9:40,940,THEFT BICYCLE UNDER $5000,2,1400 VENABLES ST,49.2767445,-123.0757597
2003-06-08 8:00,800,THEFT BICYCLE UNDER $5000,4,1200 CARTWRIGHT ST,49.2695242,-123.1320132
2003-06-08 13:15,1315,THEFT BICYCLE UNDER $5000,2,0 E HASTINGS ST,49.2814652,-123.1042387
2003-06-08 16:00,1600,THEFT BICYCLE UNDER $5000,4,SPRUCE ST / W 14TH AVE,49.2587323,-123.1291927
2003-06-08 16:47,1647,THEFT BICYCLE UNDER $5000,4,4100 W 8TH AVE,49.2653698,-123.196201
2003-06-08 17:00,1700,THEFT BICYCLE UNDER $5000,4,1300 W 13TH AVE,49.2597402,-123.1337398
2003-06-08 17:30,1730,THEFT BICYCLE UNDER $5000,4,4300 SOPHIA ST,49.2466667,-123.099141
2003-07-08 0:00,0,THEFT BICYCLE UNDER $5000,4,2900 COLUMBIA ST,49.2593384,-123.1095781
2003-07-08 10:30,1030,THEFT BICYCLE UNDER $5000,4,100 W 49TH AVE,49.2257492,-123.1094354
2003-08-08 17:00,1700,THEFT BICYCLE UNDER $5000,3,E 12TH AVE / MAIN ST,49.2602,-123.101166
2003-08-08 19:55,1955,THEFT BICYCLE UNDER $5000,2,500 E HASTINGS ST,49.2812178,-123.0933209
2003-09-08 16:00,1600,THEFT BICYCLE UNDER $5000,1,900 CANADA PL,49.2872868,-123.1137298
2003-10-08 13:00,1300,THEFT BICYCLE UNDER $5000,4,200 W BROADWAY AVE,49.2631115,-123.109532
2003-10-08 16:00,1600,THEFT BICYCLE UNDER $5000,1,MARINASIDE CRES / NELSON ST,49.2741202,-123.1149806
2003-11-08 14:55,1455,THEFT BICYCLE UNDER $5000,4,2700 LAUREL ST,49.2615307,-123.1253629
2003-11-08 20:00,2000,THEFT BICYCLE UNDER $5000,2,2500 FRANKLIN ST,49.2820589,-123.0546811
2003-11-08 22:34,2234,THEFT BICYCLE UNDER $5000,4,0 W 11TH AVE,49.2611625,-123.1050697
2003-12-08 8:45,845,THEFT BICYCLE UNDER $5000,4,3100 ONTARIO ST,49.2575163,-123.1051207
2003-12-08 10:00,1000,THEFT BICYCLE UNDER $5000,4,1500 W 3RD AVE,49.2688444,-123.1384838
2003-12-08 17:41,1741,THEFT BICYCLE UNDER $5000,2,700 JACKSON AVE,49.278475,-123.0935271
2003-12-08 21:00,2100,THEFT BICYCLE UNDER $5000,2,2100 E 6TH AVE,49.2649939,-123.0618719
3-13-08 10:00 PM,2200,THEFT BICYCLE UNDER $5000,2,ALEXANDER ST / GORE AVE,49.2840674,-123.0978665
3-13-08 11:00 PM,2300,THEFT BICYCLE UNDER $5000,1,800 HAMILTON ST,49.2787775,-123.1159931
3-14-08 1:00 AM,100,THEFT BICYCLE UNDER $5000,1,1500 DAVIE ST,49.2844829,-123.1375213
3-14-08 11:00 AM,1100,THEFT BICYCLE UNDER $5000,1,DAVIE ST / RICHARDS ST,49.2758822,-123.1242288
3-14-08 8:00 PM,2000,THEFT BICYCLE UNDER $5000,1,1000 JERVIS ST,49.2849527,-123.1316582
3-15-08 10:48 AM,1048,THEFT BICYCLE UNDER $5000,2,600 EXPO BLVD,49.2764234,-123.1139765
3-15-08 5:00 PM,1700,THEFT BICYCLE UNDER $5000,4,2100 W 44TH AVE,49.2318664,-123.1564654
3-16-08 3:00 PM,1500,THEFT BICYCLE UNDER $5000,4,1600 JOHNSTON ST,49.2719744,-123.135084
3-16-08 11:00 PM,2300,THEFT BICYCLE UNDER $5000,2,2000 E PENDER ST,49.2802038,-123.0635685
3-17-08 7:40 AM,740,THEFT BICYCLE UNDER $5000,2,PARKER ST / SALSBURY DR,49.2757459,-123.0675567
3-19-08 8:20 AM,820,THEFT BICYCLE UNDER $5000,4,800 W 12TH AVE,49.260502,-123.1218318
3-19-08 3:00 PM,1500,THEFT BICYCLE UNDER $5000,4,900 W 6TH AVE,49.2659533,-123.1241697
3-19-08 3:48 PM,1548,THEFT BICYCLE UNDER $5000,1,WATER ST / W CORDOVA ST,49.2846865,-123.1108953
3-20-08 1:30 PM,1330,THEFT BICYCLE UNDER $5000,4,2200 GRANVILLE ST,49.2660391,-123.138455
3-21-08 8:33 AM,833,THEFT BICYCLE UNDER $5000,4,2500 MANITOBA ST,49.2630434,-123.1068051
3-23-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,4,1800 SPYGLASS PL,49.2692174,-123.1152191
3-23-08 6:30 PM,1830,THEFT BICYCLE UNDER $5000,4,2100 W BROADWAY AVE,49.2637723,-123.1529922
3-24-08 9:50 PM,2150,THEFT BICYCLE UNDER $5000,4,500 W 13TH AVE,49.2594602,-123.1150868
3-25-08 5:40 PM,1740,THEFT BICYCLE UNDER $5000,4,400 W 40TH AVE,49.2343581,-123.1134952
3-27-08 12:30 PM,1230,THEFT BICYCLE UNDER $5000,4,1300 CARTWRIGHT ST,49.2697945,-123.1338688
3-27-08 5:00 PM,1700,THEFT BICYCLE UNDER $5000,3,2700 MAIN ST,49.2608625,-123.101127
3-27-08 9:00 PM,2100,THEFT BICYCLE UNDER $5000,1,1000 W CORDOVA ST,49.2883413,-123.119236
3-30-08 3:44 AM,344,THEFT BICYCLE UNDER $5000,2,100 ALEXANDER ST,49.283722,-123.1022428
3-30-08 4:10 PM,1610,THEFT BICYCLE UNDER $5000,4,1900 W BROADWAY AVE,49.263605,-123.1483428
3-31-08 4:21 AM,421,THEFT BICYCLE UNDER $5000,4,2200 W 5TH AVE,49.2673046,-123.15527
3-31-08 10:25 AM,1025,THEFT BICYCLE UNDER $5000,4,100 W 49TH AVE,49.2257492,-123.1094354
3-31-08 7:30 PM,1930,THEFT BICYCLE UNDER $5000,1,1300 BURRARD ST,49.2762892,-123.1332878
2004-01-08 11:00,1100,THEFT BICYCLE UNDER $5000,4,1400 OLD BRIDGE ST,49.2705824,-123.1345651
2004-01-08 16:00,1600,THEFT BICYCLE UNDER $5000,1,900 SEYMOUR ST,49.279544,-123.120432
2004-01-08 19:00,1900,THEFT BICYCLE UNDER $5000,2,1400 WILLIAM ST,49.2740263,-123.0759567
2004-02-08 10:30,1030,THEFT BICYCLE UNDER $5000,1,W GEORGIA ST / HOMER ST,49.2805995,-123.1151885
2004-02-08 18:00,1800,THEFT BICYCLE OVER $5000,4,1900 PINE ST,49.26885,-123.1431797
2004-02-08 18:00,1800,THEFT BICYCLE UNDER $5000,4,2700 BURRARD ST,49.2762989,-123.1332723
2004-02-08 19:00,1900,THEFT BICYCLE UNDER $5000,2,300 WATER ST,49.2839614,-123.1072798
2004-02-08 19:30,1930,THEFT BICYCLE UNDER $5000,3,300 E 5TH AVE,49.2663272,-123.0970052
2004-03-08 9:00,900,THEFT BICYCLE UNDER $5000,4,3000 CROWN ST,49.2599777,-123.1940016
2004-03-08 19:21,1921,THEFT BICYCLE UNDER $5000,4,1400 ANDERSON ST,49.2699112,-123.1370577
2004-04-08 5:22,522,THEFT BICYCLE UNDER $5000,3,300 E 7TH AVE,49.2645594,-123.0988001
2004-04-08 12:00,1200,THEFT BICYCLE UNDER $5000,4,2500 W 8TH AVE,49.2648685,-123.162163
2004-04-08 16:06,1606,THEFT BICYCLE UNDER $5000,2,100 E HASTINGS ST,49.2812374,-123.1020531
2004-04-08 19:00,1900,THEFT BICYCLE UNDER $5000,4,1800 W 7TH AVE,49.2654677,-123.1466741
2004-05-08 13:00,1300,THEFT BICYCLE UNDER $5000,1,DENMAN ST / ROBSON ST,49.2914913,-123.1354626
2004-05-08 21:00,2100,THEFT BICYCLE UNDER $5000,4,100 E 41ST AVE,49.2330717,-123.1036044
2004-06-08 18:00,1800,THEFT BICYCLE UNDER $5000,2,800 SALSBURY DR,49.276591,-123.0675298
2004-07-08 1:01,101,THEFT BICYCLE UNDER $5000,4,1300 W 12TH AVE,49.2606801,-123.1337033
2004-07-08 17:26,1726,THEFT BICYCLE UNDER $5000,3,1200 E 6TH AVE,49.2651891,-123.0794016
2004-07-08 22:00,2200,THEFT BICYCLE UNDER $5000,4,0 W 16TH AVE,49.2566423,-123.1049479
2004-09-08 13:30,1330,THEFT BICYCLE UNDER $5000,4,2600 W 50TH AVE,49.2257226,-123.1638415
2004-09-08 20:00,2000,THEFT BICYCLE UNDER $5000,3,800 E 11TH AVE,49.2605589,-123.0871037
2004-10-08 10:00,1000,THEFT BICYCLE UNDER $5000,4,2400 W 8TH AVE,49.264828,-123.1598845
2004-10-08 14:30,1430,THEFT BICYCLE UNDER $5000,3,1600 E BROADWAY AVE,49.2623346,-123.0716525
2004-10-08 16:00,1600,THEFT BICYCLE UNDER $5000,3,1400 E 27TH AVE,49.2462839,-123.0496318
2004-10-08 16:00,1600,THEFT BICYCLE UNDER $5000,4,1700 W 4TH AVE,49.2679703,-123.1433382
2004-11-08 6:30,630,THEFT BICYCLE UNDER $5000,3,900 E 55TH AVE,49.2198716,-123.087475
2004-11-08 8:00,800,THEFT BICYCLE UNDER $5000,2,1600 ADANAC ST,49.2775879,-123.0726304
2004-11-08 10:30,1030,THEFT BICYCLE UNDER $5000,3,1700 E BROADWAY AVE,49.2622361,-123.0680846
2004-11-08 14:00,1400,THEFT BICYCLE UNDER $5000,2,COLUMBIA ST / E CORDOVA ST,49.2823592,-123.1022275
2004-11-08 16:48,1648,THEFT BICYCLE UNDER $5000,3,1200 E 54TH AVE,49.2204808,-123.0814915
2004-11-08 20:00,2000,THEFT BICYCLE UNDER $5000,2,1300 FRANKLIN ST,49.2822462,-123.0772626
4-13-08 3:00 AM,300,THEFT BICYCLE UNDER $5000,3,200 E 13TH AVE,49.2592935,-123.1010126
4-13-08 9:30 AM,930,THEFT BICYCLE UNDER $5000,1,1000 BEACH AVE,49.275995,-123.133781
4-13-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,1,100 DUNSMUIR ST,49.2798329,-123.1106386
4-13-08 1:45 PM,1345,THEFT BICYCLE UNDER $5000,1,1100 HOWE ST,49.2788193,-123.1256981
4-13-08 4:00 PM,1600,THEFT BICYCLE UNDER $5000,4,BURRARD ST / W 1ST AVE,49.2706674,-123.1455738
4-14-08 5:00 PM,1700,THEFT BICYCLE UNDER $5000,1,800 BUTE ST,49.285995,-123.1269721
4-14-08 5:00 PM,1700,THEFT BICYCLE UNDER $5000,1,1100 HAMILTON ST,49.2758583,-123.1211467
4-14-08 7:45 PM,1945,THEFT BICYCLE UNDER $5000,1,1600 BARCLAY ST,49.288757,-123.1355551
4-14-08 9:00 PM,2100,THEFT BICYCLE UNDER $5000,4,4300 W 15TH AVE,49.2591787,-123.2030488
4-14-08 11:52 PM,2352,THEFT BICYCLE UNDER $5000,1,500 HOMER ST,49.2827388,-123.111928
4-15-08 8:30 AM,830,THEFT BICYCLE UNDER $5000,3,700 E 6TH AVE,49.2652466,-123.0889696
4-15-08 8:40 AM,840,THEFT BICYCLE UNDER $5000,4,3000 CROWN ST,49.2599777,-123.1940016
4-15-08 3:00 PM,1500,THEFT BICYCLE UNDER $5000,4,900 W KING EDWARD AVE,49.2490776,-123.1247135
4-16-08 3:30 PM,1530,THEFT BICYCLE UNDER $5000,4,500 W 20TH AVE,49.2533023,-123.1161557
4-17-08 8:00 AM,800,THEFT BICYCLE OVER $5000,4,3200 W 13TH AVE,49.2605925,-123.1761703
4-18-08 8:00 PM,2000,THEFT BICYCLE UNDER $5000,99,1 NK_LOC,, 
4-19-08 2:00 PM,1400,THEFT BICYCLE UNDER $5000,1,1100 HOWE ST,49.2788193,-123.1256981
4-20-08 3:00 PM,1500,THEFT BICYCLE UNDER $5000,4,1600 JOHNSTON ST,49.2719744,-123.135084
4-20-08 9:00 PM,2100,THEFT BICYCLE UNDER $5000,2,100 POWELL ST,49.2832272,-123.102053
4-21-08 12:00 AM,0,THEFT BICYCLE UNDER $5000,2,1800 E GEORGIA ST,49.2784398,-123.0682003
4-21-08 11:10 AM,1110,THEFT BICYCLE UNDER $5000,2,200 E HASTINGS ST,49.2813252,-123.0996132
4-21-08 6:00 PM,1800,THEFT BICYCLE UNDER $5000,2,1600 E 4TH AVE,49.2668844,-123.0715942
4-21-08 8:30 PM,2030,THEFT BICYCLE UNDER $5000,1,1100 BURNABY ST,49.2797459,-123.1323765
4-21-08 9:00 PM,2100,THEFT BICYCLE UNDER $5000,2,1800 FRANCES ST,49.2793816,-123.0684378
4-22-08 7:45 AM,745,THEFT BICYCLE UNDER $5000,4,2700 LAUREL ST,49.2615307,-123.1253629
4-22-08 12:50 PM,1250,THEFT BICYCLE UNDER $5000,1,VASTANLEY PARK,49.2909481,-123.1472384
4-22-08 1:00 PM,1300,THEFT BICYCLE UNDER $5000,2,GORE AVE / UNION ST,49.277617,-123.0969321
4-22-08 4:15 PM,1615,THEFT BICYCLE UNDER $5000,4,2900 CAMBIE ST,49.2594344,-123.1149127
4-23-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,1,1200 W CORDOVA ST,49.2892575,-123.1221925
4-24-08 2:30 PM,1430,THEFT BICYCLE UNDER $5000,1,300 BURRARD ST,49.2839474,-123.1222115
4-24-08 3:15 PM,1515,THEFT BICYCLE UNDER $5000,1,700 W GEORGIA ST,49.2806956,-123.1185011
4-24-08 8:00 PM,2000,THEFT BICYCLE UNDER $5000,2,E PENDER ST / COMMERCIAL DR,49.2802958,-123.0704608
4-24-08 11:30 PM,2330,THEFT BICYCLE UNDER $5000,2,700 POWELL ST,49.2829906,-123.0893921
4-25-08 8:00 AM,800,THEFT BICYCLE UNDER $5000,1,900 CANADA PL,49.2872868,-123.1137298
4-25-08 12:00 PM,1200,THEFT BICYCLE OVER $5000,2,100 REGIMENT SQ,49.2785605,-123.1100619
4-26-08 3:00 PM,1500,THEFT BICYCLE UNDER $5000,1,1400 RICHARDS ST,49.2738318,-123.1273135
4-26-08 6:45 PM,1845,THEFT BICYCLE UNDER $5000,2,200 E GEORGIA ST,49.2785516,-123.0989255
4-26-08 10:00 PM,2200,THEFT BICYCLE UNDER $5000,4,2100 W 44TH AVE,49.2318664,-123.1564654
4-27-08 1:30 AM,130,THEFT BICYCLE UNDER $5000,2,700 COMMERCIAL DR,49.278473,-123.070413
4-27-08 12:30 PM,1230,THEFT BICYCLE UNDER $5000,1,600 PIPELINE RD,49.2996215,-123.1357611
4-27-08 1:00 PM,1300,THEFT BICYCLE UNDER $5000,1,HORNBY ST / ROBSON ST,49.2826433,-123.1217946
4-27-08 2:05 PM,1405,THEFT BICYCLE UNDER $5000,99,1 NK_LOC,, 
4-27-08 6:00 PM,1800,THEFT BICYCLE UNDER $5000,4,1400 LAMEYS MILL RD,49.2669882,-123.1332964
4-28-08 12:35 AM,35,THEFT BICYCLE UNDER $5000,4,BALACLAVA ST / W 31ST AVE,49.24421,-123.175726
4-28-08 11:00 PM,2300,THEFT BICYCLE UNDER $5000,2,300 POWELL ST,49.2827475,-123.0975859
4-29-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,1,1100 BEACH AVE,49.278429,-123.1362861
4-30-08 11:09 AM,1109,THEFT BICYCLE UNDER $5000,1,800 AVISON WAY,49.3002759,-123.1303614
2005-01-08 12:35,1235,THEFT BICYCLE UNDER $5000,1,1100 HOWE ST,49.2788193,-123.1256981
